,raw_time,raw_win_pct,clean_time,IND_win_pct
0,14:30 - 1st),IND 70.9%,30,70.9
1,13:51 - 1st),IND 69.1%,69,69.1
2,13:17 - 1st),IND 69.5%,103,69.5
3,13:08 - 1st),IND 70.7%,112,70.7
4,12:36 - 1st),IND 71.1%,144,71.1
5,12:09 - 1st),IND 72.5%,171,72.5
6,11:59 - 1st),IND 70.4%,181,70.4
7,11:18 - 1st),IND 73.5%,222,73.5
8,10:45 - 1st),IND 71.8%,255,71.8
9,10:11 - 1st),IND 71.1%,289,71.1
10,9:28 - 1st) ,IND 74.2%,332,74.2
11,8:48 - 1st) ,IND 72.0%,372,72.0
12,8:43 - 1st) ,IND 71.8%,377,71.8
13,8:01 - 1st) ,IND 75.2%,419,75.2
14,7:25 - 1st) ,IND 74.1%,455,74.1
15,6:39 - 1st) ,IND 72.3%,501,72.3
16,5:57 - 1st) ,IND 71.5%,543,71.5
17,5:13 - 1st) ,IND 74.4%,587,74.4
18,4:42 - 1st) ,IND 75.1%,618,75.1
19,4:03 - 1st) ,IND 76.3%,657,76.3
20,3:57 - 1st) ,IND 76.2%,663,76.2
21,3:46 - 1st) ,IND 74.5%,674,74.5
22,3:42 - 1st) ,IND 77.2%,678,77.2
23,3:01 - 1st) ,IND 79.1%,719,79.1
24,2:22 - 1st) ,IND 81.2%,758,81.2
25,1:48 - 1st) ,IND 80.5%,792,80.5
26,1:12 - 1st) ,IND 83.2%,828,83.2
27,0:41 - 1st) ,IND 80.5%,859,80.5
28,15:00 - 2nd),IND 80.9%,900,80.9
29,14:52 - 2nd),IND 77.8%,908,77.8
30,14:14 - 2nd),IND 73.4%,946,73.4
31,14:10 - 2nd),IND 71.5%,950,71.5
32,13:40 - 2nd),IND 72.6%,980,72.6
33,12:59 - 2nd),IND 73.2%,1021,73.2
34,12:14 - 2nd),IND 69.5%,1066,69.5
35,11:46 - 2nd),IND 67.6%,1094,67.6
36,11:01 - 2nd),IND 69.6%,1139,69.6
37,10:55 - 2nd),IND 65.8%,1145,65.8
38,10:18 - 2nd),IND 64.0%,1182,64.0
39,9:49 - 2nd) ,IND 66.3%,1211,66.3
40,9:11 - 2nd) ,IND 63.1%,1249,63.1
41,8:34 - 2nd) ,IND 64.8%,1286,64.8
42,8:27 - 2nd) ,IND 62.1%,1293,62.1
43,7:58 - 2nd) ,IND 67.1%,1322,67.1
44,7:50 - 2nd) ,IND 68.8%,1330,68.8
45,7:17 - 2nd) ,IND 66.6%,1363,66.6
46,6:39 - 2nd) ,IND 65.5%,1401,65.5
47,5:55 - 2nd) ,IND 71.9%,1445,71.9
48,5:16 - 2nd) ,IND 72.3%,1484,72.3
49,4:34 - 2nd) ,IND 57.5%,1526,57.5
50,4:26 - 2nd) ,IND 55.3%,1534,55.3
51,3:54 - 2nd) ,IND 55.1%,1566,55.1
52,3:18 - 2nd) ,IND 54.4%,1602,54.4
53,2:48 - 2nd) ,HOU 52.3%,1632,47.7
54,2:37 - 2nd) ,HOU 57.9%,1643,42.1
55,2:15 - 2nd) ,HOU 61.6%,1665,38.4
56,2:00 - 2nd) ,HOU 57.9%,1680,42.1
57,1:37 - 2nd) ,HOU 52.4%,1703,47.6
58,1:15 - 2nd) ,HOU 55.8%,1725,44.2
59,0:57 - 2nd) ,HOU 57.2%,1743,42.8
60,0:45 - 2nd) ,HOU 62.6%,1755,37.4
61,0:33 - 2nd) ,HOU 61.4%,1767,38.6
62,0:21 - 2nd) ,HOU 64.3%,1779,35.7
63,0:14 - 2nd) ,HOU 63.8%,1786,36.2
64,15:00 - 3rd),HOU 74.4%,1800,25.599999999999994
65,14:20 - 3rd),HOU 71.5%,1840,28.5
66,13:42 - 3rd),HOU 67.5%,1878,32.5
67,13:05 - 3rd),HOU 68.2%,1915,31.799999999999997
68,12:17 - 3rd),HOU 71.4%,1963,28.599999999999994
69,12:16 - 3rd),HOU 70.3%,1964,29.700000000000003
70,11:49 - 3rd),HOU 72.2%,1991,27.799999999999997
71,11:08 - 3rd),HOU 69.4%,2032,30.599999999999994
72,10:31 - 3rd),HOU 71.8%,2069,28.200000000000003
73,10:24 - 3rd),HOU 72.6%,2076,27.400000000000006
74,9:53 - 3rd) ,HOU 68.7%,2107,31.299999999999997
75,9:41 - 3rd) ,HOU 72.3%,2119,27.700000000000003
76,8:59 - 3rd) ,HOU 80.1%,2161,19.900000000000006
77,8:56 - 3rd) ,HOU 79.0%,2164,21.0
78,8:23 - 3rd) ,HOU 84.8%,2197,15.200000000000003
79,7:55 - 3rd) ,HOU 84.5%,2225,15.5
80,7:16 - 3rd) ,HOU 93.0%,2264,7.0
81,7:10 - 3rd) ,HOU 93.3%,2270,6.700000000000003
82,7:03 - 3rd) ,HOU 94.2%,2277,5.799999999999997
83,6:30 - 3rd) ,HOU 92.8%,2310,7.200000000000003
84,6:16 - 3rd) ,HOU 92.7%,2324,7.299999999999997
85,5:37 - 3rd) ,HOU 91.3%,2363,8.700000000000003
86,5:13 - 3rd) ,HOU 91.6%,2387,8.400000000000006
