,raw_time,raw_win_pct,clean_time,LAC_win_pct
0,14:21 - 1st),LAC 69.1%,39,69.1
1,13:40 - 1st),LAC 77.2%,80,77.2
2,13:28 - 1st),LAC 75.4%,92,75.4
3,12:44 - 1st),LAC 74.5%,136,74.5
4,12:22 - 1st),LAC 76.4%,158,76.4
5,12:00 - 1st),LAC 81.2%,180,81.2
6,11:53 - 1st),LAC 80.8%,187,80.8
7,11:19 - 1st),LAC 80.0%,221,80.0
8,10:41 - 1st),LAC 78.3%,259,78.3
9,10:35 - 1st),LAC 80.1%,265,80.1
10,9:57 - 1st) ,LAC 81.0%,303,81.0
11,9:15 - 1st) ,LAC 81.6%,345,81.6
12,8:53 - 1st) ,LAC 83.5%,367,83.5
13,8:14 - 1st) ,LAC 83.1%,406,83.1
14,8:03 - 1st) ,LAC 81.9%,417,81.9
15,7:56 - 1st) ,LAC 81.0%,424,81.0
16,7:20 - 1st) ,LAC 80.3%,460,80.3
17,6:39 - 1st) ,LAC 80.5%,501,80.5
18,6:26 - 1st) ,LAC 81.7%,514,81.7
19,5:49 - 1st) ,LAC 81.8%,551,81.8
20,5:12 - 1st) ,LAC 78.8%,588,78.8
21,4:35 - 1st) ,LAC 76.1%,625,76.1
22,4:10 - 1st) ,LAC 77.5%,650,77.5
23,4:05 - 1st) ,LAC 76.4%,655,76.4
24,3:27 - 1st) ,LAC 78.2%,693,78.2
25,3:01 - 1st) ,LAC 78.6%,719,78.6
26,2:23 - 1st) ,LAC 60.9%,757,60.9
27,2:16 - 1st) ,LAC 81.8%,764,81.8
28,1:38 - 1st) ,LAC 84.9%,802,84.9
29,1:00 - 1st) ,LAC 84.9%,840,84.9
30,0:29 - 1st) ,LAC 85.7%,871,85.7
31,15:00 - 2nd),LAC 85.0%,900,85.0
32,14:18 - 2nd),LAC 87.7%,942,87.7
33,13:40 - 2nd),LAC 86.7%,980,86.7
34,12:57 - 2nd),LAC 91.0%,1023,91.0
35,12:20 - 2nd),LAC 91.3%,1060,91.3
36,11:33 - 2nd),LAC 92.0%,1107,92.0
37,11:28 - 2nd),LAC 91.8%,1112,91.8
38,11:18 - 2nd),LAC 91.3%,1122,91.3
39,10:46 - 2nd),LAC 94.6%,1154,94.6
40,10:00 - 2nd),LAC 96.4%,1200,96.4
41,9:48 - 2nd) ,LAC 91.7%,1212,91.7
42,9:44 - 2nd) ,LAC 92.4%,1216,92.4
43,9:22 - 2nd) ,LAC 93.7%,1238,93.7
44,8:45 - 2nd) ,LAC 92.5%,1275,92.5
45,8:08 - 2nd) ,LAC 92.7%,1312,92.7
46,7:30 - 2nd) ,LAC 94.8%,1350,94.8
47,6:50 - 2nd) ,LAC 95.6%,1390,95.6
48,6:09 - 2nd) ,LAC 95.3%,1431,95.3
49,5:29 - 2nd) ,LAC 94.8%,1471,94.8
50,5:21 - 2nd) ,LAC 93.9%,1479,93.9
51,4:35 - 2nd) ,LAC 93.2%,1525,93.2
52,3:51 - 2nd) ,LAC 93.8%,1569,93.8
53,3:07 - 2nd) ,LAC 92.3%,1613,92.3
54,2:30 - 2nd) ,LAC 92.0%,1650,92.0
55,2:23 - 2nd) ,LAC 92.4%,1657,92.4
56,2:00 - 2nd) ,LAC 92.3%,1680,92.3
57,1:39 - 2nd) ,LAC 93.5%,1701,93.5
58,1:01 - 2nd) ,LAC 95.7%,1739,95.7
59,0:54 - 2nd) ,LAC 96.4%,1746,96.4
60,0:48 - 2nd) ,LAC 96.0%,1752,96.0
61,0:41 - 2nd) ,LAC 95.3%,1759,95.3
62,0:26 - 2nd) ,LAC 97.2%,1774,97.2
63,0:19 - 2nd) ,LAC 97.0%,1781,97.0
64,0:08 - 2nd) ,LAC 96.9%,1792,96.9
65,15:00 - 3rd),LAC 97.7%,1800,97.7
66,14:56 - 3rd),LAC 97.3%,1804,97.3
67,14:21 - 3rd),LAC 96.9%,1839,96.9
68,13:40 - 3rd),LAC 96.3%,1880,96.3
69,13:27 - 3rd),LAC 96.7%,1893,96.7
70,12:52 - 3rd),LAC 97.2%,1928,97.2
71,12:07 - 3rd),LAC 97.0%,1973,97.0
72,11:28 - 3rd),LAC 97.4%,2012,97.4
73,11:22 - 3rd),LAC 97.6%,2018,97.6
74,11:18 - 3rd),LAC 97.4%,2022,97.4
75,10:34 - 3rd),LAC 97.9%,2066,97.9
76,10:03 - 3rd),LAC 97.6%,2097,97.6
77,9:55 - 3rd) ,LAC 97.4%,2105,97.4
78,9:16 - 3rd) ,LAC 97.5%,2144,97.5
79,8:40 - 3rd) ,LAC 98.1%,2180,98.1
