,raw_time,raw_win_pct,clean_time,KC_win_pct
0,14:52 - 1st),KC 56.8%,8,56.8
1,14:49 - 1st),KC 57.2%,11,57.2
2,14:02 - 1st),KC 60.7%,58,60.7
3,13:57 - 1st),IND 55.9%,63,44.1
4,13:47 - 1st),IND 51.3%,73,48.7
5,13:10 - 1st),IND 53.8%,110,46.2
6,12:24 - 1st),IND 57.9%,156,42.1
7,12:19 - 1st),IND 59.0%,161,41.0
8,12:13 - 1st),IND 60.5%,167,39.5
9,11:32 - 1st),IND 62.4%,208,37.6
10,11:16 - 1st),IND 60.6%,224,39.4
11,10:43 - 1st),IND 57.5%,257,42.5
12,10:19 - 1st),IND 60.9%,281,39.1
13,9:46 - 1st) ,IND 60.9%,314,39.1
14,9:14 - 1st) ,IND 63.4%,346,36.6
15,8:36 - 1st) ,IND 61.6%,384,38.4
16,8:30 - 1st) ,IND 60.8%,390,39.2
17,7:46 - 1st) ,IND 58.9%,434,41.1
18,6:55 - 1st) ,IND 61.0%,485,39.0
19,6:16 - 1st) ,IND 65.1%,524,34.900000000000006
20,5:35 - 1st) ,IND 65.9%,565,34.099999999999994
21,4:42 - 1st) ,IND 66.5%,618,33.5
22,4:02 - 1st) ,IND 66.4%,658,33.599999999999994
23,3:29 - 1st) ,IND 60.6%,691,39.4
24,2:37 - 1st) ,IND 54.4%,743,45.6
25,2:02 - 1st) ,IND 56.4%,778,43.6
26,1:20 - 1st) ,KC 54.3%,820,54.3
27,0:34 - 1st) ,KC 52.2%,866,52.2
28,0:29 - 1st) ,KC 52.1%,871,52.1
29,15:00 - 2nd),KC 54.7%,900,54.7
30,14:23 - 2nd),KC 50.1%,937,50.1
31,13:47 - 2nd),IND 52.7%,973,47.3
32,13:05 - 2nd),KC 50.1%,1015,50.1
33,13:00 - 2nd),IND 50.7%,1020,49.3
34,12:21 - 2nd),IND 55.6%,1059,44.4
35,11:39 - 2nd),IND 54.3%,1101,45.7
36,11:04 - 2nd),IND 53.2%,1136,46.8
37,10:23 - 2nd),IND 51.0%,1177,49.0
38,9:40 - 2nd) ,IND 54.7%,1220,45.3
39,9:35 - 2nd) ,IND 57.4%,1225,42.6
40,8:57 - 2nd) ,IND 53.1%,1263,46.9
41,8:38 - 2nd) ,IND 55.9%,1282,44.1
42,7:53 - 2nd) ,IND 52.8%,1327,47.2
43,7:46 - 2nd) ,IND 53.1%,1334,46.9
44,7:15 - 2nd) ,IND 51.3%,1365,48.7
45,6:41 - 2nd) ,IND 51.6%,1399,48.4
46,6:24 - 2nd) ,KC 50.4%,1416,50.4
47,5:52 - 2nd) ,IND 52.2%,1448,47.8
48,5:08 - 2nd) ,IND 54.3%,1492,45.7
49,5:01 - 2nd) ,IND 57.1%,1499,42.9
50,4:46 - 2nd) ,IND 59.2%,1514,40.8
51,4:08 - 2nd) ,IND 60.7%,1552,39.3
52,3:23 - 2nd) ,KC 58.0%,1597,58.0
53,2:48 - 2nd) ,KC 59.4%,1632,59.4
54,2:00 - 2nd) ,KC 55.3%,1680,55.3
