,raw_time,raw_win_pct,clean_time,TEN_win_pct
0,14:27 - 1st),IND 63.4%,33,36.6
1,13:51 - 1st),IND 60.4%,69,39.6
2,13:45 - 1st),IND 59.2%,75,40.8
3,13:04 - 1st),IND 64.7%,116,35.3
4,12:27 - 1st),IND 62.7%,153,37.3
5,11:49 - 1st),IND 61.3%,191,38.7
6,11:10 - 1st),IND 65.4%,230,34.599999999999994
7,11:04 - 1st),IND 63.0%,236,37.0
8,10:56 - 1st),IND 61.7%,244,38.3
9,10:47 - 1st),IND 53.3%,253,46.7
10,10:09 - 1st),IND 53.7%,291,46.3
11,9:25 - 1st) ,TEN 51.6%,335,51.6
12,8:44 - 1st) ,TEN 55.0%,376,55.0
13,8:00 - 1st) ,TEN 58.8%,420,58.8
14,7:20 - 1st) ,TEN 60.7%,460,60.7
15,7:16 - 1st) ,TEN 62.6%,464,62.6
16,7:05 - 1st) ,TEN 60.9%,475,60.9
17,6:29 - 1st) ,TEN 59.6%,511,59.6
18,5:49 - 1st) ,TEN 63.5%,551,63.5
19,5:13 - 1st) ,TEN 66.8%,587,66.8
20,4:32 - 1st) ,TEN 71.0%,628,71.0
21,3:46 - 1st) ,TEN 74.6%,674,74.6
22,3:11 - 1st) ,TEN 75.8%,709,75.8
23,2:37 - 1st) ,TEN 73.6%,743,73.6
24,1:55 - 1st) ,TEN 75.3%,785,75.3
25,1:19 - 1st) ,TEN 71.1%,821,71.1
26,0:38 - 1st) ,TEN 71.2%,862,71.2
27,15:00 - 2nd),TEN 66.3%,900,66.3
28,14:12 - 2nd),TEN 69.6%,948,69.6
29,13:37 - 2nd),TEN 72.2%,983,72.2
30,13:28 - 2nd),TEN 75.3%,992,75.3
31,13:19 - 2nd),TEN 73.8%,1001,73.8
32,13:14 - 2nd),TEN 78.6%,1006,78.6
33,12:54 - 2nd),TEN 77.8%,1026,77.8
34,12:16 - 2nd),TEN 77.0%,1064,77.0
35,11:58 - 2nd),TEN 77.6%,1082,77.6
36,11:17 - 2nd),TEN 81.0%,1123,81.0
37,10:35 - 2nd),TEN 82.7%,1165,82.7
38,9:53 - 2nd) ,TEN 79.7%,1207,79.7
39,9:49 - 2nd) ,TEN 78.5%,1211,78.5
40,9:34 - 2nd) ,TEN 88.6%,1226,88.6
41,9:11 - 2nd) ,TEN 89.8%,1249,89.8
42,9:03 - 2nd) ,TEN 90.3%,1257,90.3
43,8:23 - 2nd) ,TEN 91.0%,1297,91.0
44,7:40 - 2nd) ,TEN 93.3%,1340,93.3
45,6:58 - 2nd) ,TEN 93.4%,1382,93.4
46,6:17 - 2nd) ,TEN 91.2%,1423,91.2
47,5:58 - 2nd) ,TEN 92.5%,1442,92.5
48,5:17 - 2nd) ,TEN 92.6%,1483,92.6
49,4:39 - 2nd) ,TEN 90.9%,1521,90.9
50,4:03 - 2nd) ,TEN 86.5%,1557,86.5
51,3:19 - 2nd) ,TEN 88.6%,1601,88.6
52,2:58 - 2nd) ,TEN 87.8%,1622,87.8
53,2:13 - 2nd) ,TEN 85.3%,1667,85.3
54,2:00 - 2nd) ,TEN 84.4%,1680,84.4
55,1:54 - 2nd) ,TEN 86.9%,1686,86.9
56,1:28 - 2nd) ,TEN 87.8%,1712,87.8
57,0:54 - 2nd) ,TEN 87.7%,1746,87.7
58,0:46 - 2nd) ,TEN 88.2%,1754,88.2
59,0:40 - 2nd) ,TEN 88.1%,1760,88.1
60,0:29 - 2nd) ,TEN 89.0%,1771,89.0
61,0:19 - 2nd) ,TEN 89.2%,1781,89.2
62,15:00 - 3rd),TEN 88.5%,1800,88.5
63,14:55 - 3rd),TEN 84.2%,1805,84.2
64,14:16 - 3rd),TEN 84.7%,1844,84.7
65,13:34 - 3rd),TEN 83.0%,1886,83.0
66,13:10 - 3rd),TEN 83.3%,1910,83.3
67,12:35 - 3rd),TEN 84.8%,1945,84.8
68,11:55 - 3rd),TEN 86.2%,1985,86.2
69,11:18 - 3rd),TEN 81.4%,2022,81.4
70,10:32 - 3rd),TEN 80.8%,2068,80.8
71,10:11 - 3rd),TEN 78.4%,2089,78.4
72,9:35 - 3rd) ,TEN 80.6%,2125,80.6
73,8:52 - 3rd) ,TEN 76.2%,2168,76.2
74,8:12 - 3rd) ,TEN 80.0%,2208,80.0
75,7:26 - 3rd) ,TEN 72.8%,2254,72.8
76,7:21 - 3rd) ,TEN 71.4%,2259,71.4
77,6:38 - 3rd) ,TEN 70.5%,2302,70.5
78,5:51 - 3rd) ,TEN 68.6%,2349,68.6
79,5:36 - 3rd) ,TEN 67.4%,2364,67.4
80,5:17 - 3rd) ,TEN 70.8%,2383,70.8
81,5:14 - 3rd) ,TEN 73.0%,2386,73.0
82,4:33 - 3rd) ,TEN 69.0%,2427,69.0
83,3:56 - 3rd) ,TEN 70.2%,2464,70.2
84,3:19 - 3rd) ,TEN 72.6%,2501,72.6
85,2:38 - 3rd) ,TEN 67.0%,2542,67.0
86,2:02 - 3rd) ,TEN 68.6%,2578,68.6
87,1:22 - 3rd) ,TEN 73.1%,2618,73.1
88,0:31 - 3rd) ,TEN 76.3%,2669,76.3
89,0:00 - 3rd) ,TEN 76.7%,2700,76.7
90,14:53 - 4th),TEN 77.1%,2707,77.1
91,14:16 - 4th),TEN 78.9%,2744,78.9
92,13:31 - 4th),TEN 74.2%,2789,74.2
