,raw_time,raw_win_pct,clean_time,IND_win_pct
0,14:23 - 1st),IND 56.2%,157,56.2
1,13:48 - 1st),IND 55.2%,192,55.2
2,13:05 - 1st),IND 60.4%,235,60.4
3,12:26 - 1st),IND 58.9%,274,58.9
4,12:20 - 1st),IND 60.4%,280,60.4
5,11:41 - 1st),IND 50.8%,319,50.8
6,11:32 - 1st),IND 52.4%,328,52.4
7,11:00 - 1st),IND 51.8%,360,51.8
8,10:19 - 1st),JAX 51.3%,401,48.7
9,10:04 - 1st),IND 50.4%,416,50.4
10,9:27 - 1st) ,IND 51.7%,453,51.7
11,8:48 - 1st) ,IND 54.0%,492,54.0
12,8:05 - 1st) ,JAX 53.9%,535,46.1
13,7:31 - 1st) ,JAX 54.0%,569,46.0
14,6:59 - 1st) ,JAX 51.0%,601,49.0
15,6:19 - 1st) ,JAX 52.3%,641,47.7
16,5:43 - 1st) ,JAX 57.6%,677,42.4
17,5:04 - 1st) ,JAX 55.2%,716,44.8
18,4:26 - 1st) ,JAX 59.0%,754,41.0
19,3:49 - 1st) ,JAX 57.4%,791,42.6
20,3:09 - 1st) ,JAX 55.5%,831,44.5
21,2:21 - 1st) ,JAX 62.2%,879,37.8
22,2:16 - 1st) ,JAX 63.8%,884,36.2
23,1:39 - 1st) ,JAX 65.7%,921,34.3
24,0:47 - 1st) ,JAX 67.4%,973,32.599999999999994
25,0:09 - 1st) ,JAX 67.3%,1011,32.7
26,15:00 - 2nd),JAX 64.9%,1020,35.099999999999994
27,14:24 - 2nd),JAX 64.2%,1056,35.8
28,13:47 - 2nd),JAX 62.6%,1093,37.4
29,13:39 - 2nd),JAX 62.3%,1101,37.7
30,13:30 - 2nd),JAX 65.5%,1110,34.5
31,13:03 - 2nd),JAX 64.7%,1137,35.3
32,12:21 - 2nd),JAX 68.7%,1179,31.299999999999997
33,11:45 - 2nd),JAX 68.5%,1215,31.5
34,11:32 - 2nd),JAX 70.0%,1228,30.0
35,10:59 - 2nd),JAX 67.0%,1261,33.0
36,10:23 - 2nd),JAX 68.4%,1297,31.599999999999994
37,9:47 - 2nd) ,JAX 69.8%,1333,30.200000000000003
38,9:04 - 2nd) ,JAX 70.8%,1376,29.200000000000003
39,8:41 - 2nd) ,JAX 74.4%,1399,25.599999999999994
40,7:52 - 2nd) ,JAX 84.2%,1448,15.799999999999997
41,7:44 - 2nd) ,JAX 85.2%,1456,14.799999999999997
42,7:05 - 2nd) ,JAX 85.9%,1495,14.099999999999994
43,6:44 - 2nd) ,JAX 85.8%,1516,14.200000000000003
44,6:03 - 2nd) ,JAX 87.0%,1557,13.0
45,5:56 - 2nd) ,JAX 86.5%,1564,13.5
46,5:43 - 2nd) ,JAX 87.6%,1577,12.400000000000006
47,5:02 - 2nd) ,JAX 87.3%,1618,12.700000000000003
48,4:21 - 2nd) ,JAX 88.7%,1659,11.299999999999997
49,3:44 - 2nd) ,JAX 87.7%,1696,12.299999999999997
50,3:03 - 2nd) ,JAX 87.6%,1737,12.400000000000006
51,2:59 - 2nd) ,JAX 89.6%,1741,10.400000000000006
52,2:22 - 2nd) ,JAX 88.3%,1778,11.700000000000003
53,1:59 - 2nd) ,JAX 89.1%,1801,10.900000000000006
54,1:43 - 2nd) ,JAX 92.1%,1817,7.900000000000006
55,1:24 - 2nd) ,JAX 90.1%,1836,9.900000000000006
56,1:06 - 2nd) ,JAX 90.6%,1854,9.400000000000006
57,0:53 - 2nd) ,JAX 92.2%,1867,7.799999999999997
58,0:28 - 2nd) ,JAX 92.5%,1892,7.5
59,0:18 - 2nd) ,JAX 92.2%,1902,7.799999999999997
60,0:12 - 2nd) ,JAX 92.1%,1908,7.900000000000006
61,15:00 - 3rd),JAX 92.2%,1920,7.799999999999997
62,14:23 - 3rd),JAX 91.4%,1957,8.599999999999994
63,13:51 - 3rd),JAX 93.5%,1989,6.5
64,13:11 - 3rd),JAX 92.8%,2029,7.200000000000003
65,12:33 - 3rd),JAX 94.7%,2067,5.299999999999997
66,11:54 - 3rd),JAX 94.1%,2106,5.900000000000006
67,11:11 - 3rd),JAX 94.0%,2149,6.0
68,10:25 - 3rd),JAX 93.2%,2195,6.799999999999997
69,10:20 - 3rd),JAX 92.9%,2200,7.099999999999994
70,10:09 - 3rd),JAX 92.9%,2211,7.099999999999994
71,9:33 - 3rd) ,JAX 92.0%,2247,8.0
72,9:02 - 3rd) ,JAX 93.0%,2278,7.0
73,8:56 - 3rd) ,JAX 93.1%,2284,6.900000000000006
74,8:15 - 3rd) ,JAX 94.2%,2325,5.799999999999997
75,8:09 - 3rd) ,JAX 93.6%,2331,6.400000000000006
76,7:59 - 3rd) ,JAX 94.2%,2341,5.799999999999997
77,7:20 - 3rd) ,JAX 93.7%,2380,6.299999999999997
78,6:40 - 3rd) ,JAX 95.2%,2420,4.799999999999997
79,6:05 - 3rd) ,JAX 95.4%,2455,4.599999999999994
