,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:29 - 1st),LAR 55.2%,31,44.8
1,13:54 - 1st),LAR 55.7%,66,44.3
2,13:15 - 1st),LAR 53.2%,105,46.8
3,12:33 - 1st),LAR 55.2%,147,44.8
4,11:54 - 1st),LAR 50.7%,186,49.3
5,11:20 - 1st),LAR 52.6%,220,47.4
6,10:42 - 1st),BUF 51.2%,258,51.2
7,9:56 - 1st) ,BUF 59.5%,304,59.5
8,9:52 - 1st) ,BUF 60.7%,308,60.7
9,9:30 - 1st) ,BUF 61.5%,330,61.5
10,9:04 - 1st) ,BUF 62.4%,356,62.4
11,8:25 - 1st) ,BUF 56.4%,395,56.4
12,7:45 - 1st) ,BUF 57.9%,435,57.9
13,7:23 - 1st) ,BUF 54.9%,457,54.9
14,6:48 - 1st) ,BUF 57.0%,492,57.0
15,6:21 - 1st) ,BUF 59.4%,519,59.4
16,5:53 - 1st) ,BUF 61.6%,547,61.6
17,5:06 - 1st) ,BUF 59.8%,594,59.8
18,4:26 - 1st) ,BUF 58.6%,634,58.6
19,3:46 - 1st) ,BUF 63.4%,674,63.4
20,3:10 - 1st) ,BUF 65.0%,710,65.0
21,2:32 - 1st) ,BUF 66.8%,748,66.8
22,1:53 - 1st) ,BUF 69.8%,787,69.8
23,1:25 - 1st) ,BUF 68.6%,815,68.6
24,0:39 - 1st) ,BUF 62.7%,861,62.7
25,15:00 - 2nd),BUF 65.0%,900,65.0
26,14:21 - 2nd),BUF 65.4%,939,65.4
27,14:08 - 2nd),BUF 63.7%,952,63.7
28,13:36 - 2nd),BUF 54.9%,984,54.9
29,13:24 - 2nd),BUF 55.3%,996,55.3
30,12:55 - 2nd),BUF 64.4%,1025,64.4
31,12:26 - 2nd),BUF 63.8%,1054,63.8
32,11:44 - 2nd),BUF 68.4%,1096,68.4
33,11:05 - 2nd),BUF 71.8%,1135,71.8
34,10:21 - 2nd),BUF 71.0%,1179,71.0
35,9:37 - 2nd) ,BUF 70.6%,1223,70.6
36,8:55 - 2nd) ,BUF 69.2%,1265,69.2
37,8:48 - 2nd) ,BUF 70.1%,1272,70.1
38,8:09 - 2nd) ,BUF 72.2%,1311,72.2
39,8:04 - 2nd) ,BUF 66.5%,1316,66.5
40,7:20 - 2nd) ,BUF 65.3%,1360,65.3
41,6:49 - 2nd) ,BUF 62.8%,1391,62.8
42,6:12 - 2nd) ,BUF 67.0%,1428,67.0
43,5:42 - 2nd) ,BUF 69.0%,1458,69.0
44,4:53 - 2nd) ,BUF 63.7%,1507,63.7
45,4:15 - 2nd) ,BUF 58.4%,1545,58.4
46,3:42 - 2nd) ,BUF 62.1%,1578,62.1
47,3:00 - 2nd) ,BUF 53.7%,1620,53.7
48,2:22 - 2nd) ,BUF 52.0%,1658,52.0
49,2:16 - 2nd) ,BUF 57.9%,1664,57.9
50,2:00 - 2nd) ,BUF 57.9%,1680,57.9
51,1:48 - 2nd) ,LAR 53.3%,1692,46.7
52,1:40 - 2nd) ,LAR 53.7%,1700,46.3
53,1:19 - 2nd) ,LAR 52.3%,1721,47.7
54,0:39 - 2nd) ,LAR 55.4%,1761,44.6
55,0:34 - 2nd) ,BUF 53.0%,1766,53.0
56,0:26 - 2nd) ,BUF 52.0%,1774,52.0
