,raw_time,raw_win_pct,clean_time,ARI_win_pct
0,14:21 - 1st),LV 62.3%,39,37.7
1,13:39 - 1st),LV 64.9%,81,35.099999999999994
2,13:00 - 1st),LV 66.7%,120,33.3
3,12:26 - 1st),LV 66.0%,154,34.0
4,11:54 - 1st),LV 66.1%,186,33.900000000000006
5,11:17 - 1st),LV 66.7%,223,33.3
6,10:55 - 1st),LV 67.8%,245,32.2
7,10:18 - 1st),LV 68.8%,282,31.200000000000003
8,9:38 - 1st) ,LV 67.7%,322,32.3
9,9:11 - 1st) ,LV 63.9%,349,36.1
10,8:24 - 1st) ,LV 64.9%,396,35.099999999999994
11,7:45 - 1st) ,LV 72.6%,435,27.400000000000006
12,7:01 - 1st) ,LV 72.1%,479,27.900000000000006
13,6:19 - 1st) ,LV 67.4%,521,32.599999999999994
14,6:11 - 1st) ,LV 69.2%,529,30.799999999999997
15,5:22 - 1st) ,LV 72.6%,578,27.400000000000006
16,4:47 - 1st) ,LV 75.7%,613,24.299999999999997
17,4:04 - 1st) ,LV 72.6%,656,27.400000000000006
18,3:22 - 1st) ,LV 73.1%,698,26.900000000000006
19,2:52 - 1st) ,LV 75.5%,728,24.5
20,2:05 - 1st) ,LV 76.3%,775,23.700000000000003
21,2:04 - 1st) ,LV 76.4%,776,23.599999999999994
22,1:25 - 1st) ,LV 76.4%,815,23.599999999999994
23,1:21 - 1st) ,LV 78.9%,819,21.099999999999994
24,0:41 - 1st) ,LV 77.6%,859,22.400000000000006
25,0:07 - 1st) ,LV 79.5%,893,20.5
26,15:00 - 2nd),LV 79.3%,900,20.700000000000003
27,14:17 - 2nd),LV 83.0%,943,17.0
28,13:33 - 2nd),LV 81.7%,987,18.299999999999997
29,13:05 - 2nd),LV 81.2%,1015,18.799999999999997
30,12:26 - 2nd),LV 81.1%,1054,18.900000000000006
31,11:50 - 2nd),LV 79.8%,1090,20.200000000000003
32,11:40 - 2nd),LV 80.1%,1100,19.900000000000006
33,11:31 - 2nd),LV 80.1%,1109,19.900000000000006
34,11:02 - 2nd),LV 79.1%,1138,20.900000000000006
35,10:17 - 2nd),LV 80.2%,1183,19.799999999999997
36,9:35 - 2nd) ,LV 82.3%,1225,17.700000000000003
37,9:28 - 2nd) ,LV 83.2%,1232,16.799999999999997
38,9:02 - 2nd) ,LV 82.5%,1258,17.5
39,8:58 - 2nd) ,LV 84.9%,1262,15.099999999999994
40,8:30 - 2nd) ,LV 86.9%,1290,13.099999999999994
41,8:00 - 2nd) ,LV 87.6%,1320,12.400000000000006
42,7:56 - 2nd) ,LV 86.9%,1324,13.099999999999994
43,7:51 - 2nd) ,LV 90.4%,1329,9.599999999999994
44,7:00 - 2nd) ,LV 93.4%,1380,6.599999999999994
45,6:53 - 2nd) ,LV 91.5%,1387,8.5
46,6:16 - 2nd) ,LV 91.9%,1424,8.099999999999994
47,5:39 - 2nd) ,LV 90.9%,1461,9.099999999999994
48,4:57 - 2nd) ,LV 91.3%,1503,8.700000000000003
49,4:26 - 2nd) ,LV 91.7%,1534,8.299999999999997
50,3:42 - 2nd) ,LV 92.4%,1578,7.599999999999994
51,3:36 - 2nd) ,LV 90.7%,1584,9.299999999999997
52,3:24 - 2nd) ,LV 89.9%,1596,10.099999999999994
53,2:42 - 2nd) ,LV 92.3%,1638,7.700000000000003
54,2:41 - 2nd) ,LV 93.8%,1639,6.200000000000003
55,1:51 - 2nd) ,LV 93.7%,1689,6.299999999999997
56,1:42 - 2nd) ,LV 93.2%,1698,6.799999999999997
57,1:13 - 2nd) ,LV 94.8%,1727,5.200000000000003
58,0:41 - 2nd) ,LV 94.0%,1759,6.0
59,0:30 - 2nd) ,LV 94.1%,1770,5.900000000000006
60,0:18 - 2nd) ,LV 94.7%,1782,5.299999999999997
61,0:09 - 2nd) ,LV 94.5%,1791,5.5
62,15:00 - 3rd),LV 96.0%,1800,4.0
63,14:26 - 3rd),LV 95.7%,1834,4.299999999999997
64,14:02 - 3rd),LV 96.2%,1858,3.799999999999997
65,14:00 - 3rd),LV 96.4%,1860,3.5999999999999943
66,13:21 - 3rd),LV 97.0%,1899,3.0
67,13:07 - 3rd),LV 96.2%,1913,3.799999999999997
68,12:26 - 3rd),LV 96.5%,1954,3.5
69,12:21 - 3rd),LV 96.0%,1959,4.0
70,11:41 - 3rd),LV 96.9%,1999,3.0999999999999943
71,11:30 - 3rd),LV 97.1%,2010,2.9000000000000057
72,11:03 - 3rd),LV 96.1%,2037,3.9000000000000057
73,10:36 - 3rd),LV 95.5%,2064,4.5
74,10:05 - 3rd),LV 95.6%,2095,4.400000000000006
75,9:29 - 3rd) ,LV 95.3%,2131,4.700000000000003
76,8:56 - 3rd) ,LV 95.2%,2164,4.799999999999997
77,8:21 - 3rd) ,LV 95.1%,2199,4.900000000000006
78,7:43 - 3rd) ,LV 96.0%,2237,4.0
79,7:37 - 3rd) ,LV 94.0%,2243,6.0
80,6:57 - 3rd) ,LV 94.8%,2283,5.200000000000003
81,6:12 - 3rd) ,LV 95.5%,2328,4.5
82,6:03 - 3rd) ,LV 92.2%,2337,7.799999999999997
83,5:22 - 3rd) ,LV 92.8%,2378,7.200000000000003
84,4:41 - 3rd) ,LV 93.7%,2419,6.299999999999997
85,4:15 - 3rd) ,LV 96.3%,2445,3.700000000000003
86,4:08 - 3rd) ,LV 96.3%,2452,3.700000000000003
87,3:21 - 3rd) ,LV 97.2%,2499,2.799999999999997
88,2:37 - 3rd) ,LV 97.2%,2543,2.799999999999997
89,1:52 - 3rd) ,LV 96.6%,2588,3.4000000000000057
90,1:47 - 3rd) ,LV 96.2%,2593,3.799999999999997
91,1:38 - 3rd) ,LV 96.5%,2602,3.5
92,1:08 - 3rd) ,LV 95.7%,2632,4.299999999999997
93,0:29 - 3rd) ,LV 96.6%,2671,3.4000000000000057
94,0:22 - 3rd) ,LV 95.4%,2678,4.599999999999994
95,15:00 - 4th),LV 92.8%,2700,7.200000000000003
96,14:12 - 4th),LV 93.3%,2748,6.700000000000003
97,13:24 - 4th),LV 94.5%,2796,5.5
98,12:41 - 4th),LV 95.8%,2839,4.200000000000003
99,12:37 - 4th),LV 98.1%,2843,1.9000000000000057
100,12:24 - 4th),LV 96.6%,2856,3.4000000000000057
101,12:21 - 4th),LV 96.8%,2859,3.200000000000003
102,12:07 - 4th),LV 97.8%,2873,2.200000000000003
103,11:44 - 4th),LV 96.3%,2896,3.700000000000003
104,11:24 - 4th),LV 96.6%,2916,3.4000000000000057
105,10:53 - 4th),LV 95.9%,2947,4.099999999999994
106,10:31 - 4th),LV 95.8%,2969,4.200000000000003
107,9:25 - 4th) ,LV 96.3%,3035,3.700000000000003
108,8:45 - 4th) ,LV 97.5%,3075,2.5
109,8:40 - 4th) ,LV 97.1%,3080,2.9000000000000057
110,8:13 - 4th) ,LV 90.3%,3107,9.700000000000003
111,7:38 - 4th) ,LV 93.8%,3142,6.200000000000003
112,6:54 - 4th) ,LV 91.7%,3186,8.299999999999997
113,6:14 - 4th) ,LV 91.4%,3226,8.599999999999994
114,5:36 - 4th) ,LV 90.4%,3264,9.599999999999994
115,4:54 - 4th) ,LV 91.4%,3306,8.599999999999994
116,4:43 - 4th) ,LV 90.0%,3317,10.0
117,4:17 - 4th) ,LV 90.2%,3343,9.799999999999997
118,3:51 - 4th) ,LV 88.8%,3369,11.200000000000003
119,3:27 - 4th) ,LV 88.3%,3393,11.700000000000003
120,3:25 - 4th) ,LV 90.3%,3395,9.700000000000003
121,3:03 - 4th) ,LV 96.6%,3417,3.4000000000000057
122,2:28 - 4th) ,LV 89.0%,3452,11.0
123,2:17 - 4th) ,LV 86.2%,3463,13.799999999999997
124,2:00 - 4th) ,LV 87.3%,3480,12.700000000000003
125,1:55 - 4th) ,LV 84.9%,3485,15.099999999999994
126,1:34 - 4th) ,LV 83.1%,3506,16.900000000000006
127,1:08 - 4th) ,LV 79.7%,3532,20.299999999999997
128,0:38 - 4th) ,LV 82.8%,3562,17.200000000000003
129,0:30 - 4th) ,LV 79.0%,3570,21.0
130,0:16 - 4th) ,LV 86.9%,3584,13.099999999999994
131,0:08 - 4th) ,LV 93.5%,3592,6.5
132,0:00 - 4th) ,TIE,3600,50.0
133,10:00 - OT) ,ARI 54.7%,3900,54.7
134,10:00 - OT) ,ARI 52.6%,3900,52.6
135,9:27 - OT) (,ARI 62.0%,3933,62.0
136,8:54 - OT) (,ARI 55.7%,3966,55.7
137,8:19 - OT) (,ARI 74.0%,4001,74.0
138,7:41 - OT) (,ARI 70.6%,4039,70.6
139,7:40 - OT) (,ARI 70.3%,4040,70.3
140,7:06 - OT) (,ARI 72.0%,4074,72.0
141,6:23 - OT) (,ARI 54.2%,4117,54.2
142,5:36 - OT) T,ARI 54.2%,4164,54.2
143,5:30 - OT) (,LV 62.7%,4170,37.3
144,5:30 - OT) (,LV 55.0%,4170,45.0
145,5:26 - OT) (,LV 55.1%,4174,44.9
146,4:45 - OT) T,LV 78.9%,4215,21.099999999999994
147,4:45 - OT) D,LV 78.9%,4215,21.099999999999994
148,4:45 - OT) T,LV 59.0%,4215,41.0
149,4:11 - OT) (,LV 67.9%,4249,32.099999999999994
150,3:51 - OT) B,ARI 100%,4269,100.0
151,0:00 - OT) E,ARI 100%,4500,100.0
