,raw_time,raw_win_pct,clean_time,DEN_win_pct
0,14:52 - 1st),LV 58.5%,8,41.5
1,14:18 - 1st),LV 61.4%,42,38.6
2,13:45 - 1st),LV 61.9%,75,38.1
3,13:23 - 1st),LV 65.3%,97,34.7
4,12:38 - 1st),LV 63.1%,142,36.9
5,12:33 - 1st),LV 63.2%,147,36.8
6,12:04 - 1st),LV 68.4%,176,31.599999999999994
7,11:20 - 1st),LV 66.2%,220,33.8
8,10:43 - 1st),LV 64.3%,257,35.7
9,10:01 - 1st),LV 62.0%,299,38.0
10,9:52 - 1st) ,LV 60.3%,308,39.7
11,9:13 - 1st) ,LV 63.7%,347,36.3
12,8:33 - 1st) ,LV 64.1%,387,35.900000000000006
13,7:50 - 1st) ,LV 65.8%,430,34.2
14,7:16 - 1st) ,LV 64.1%,464,35.900000000000006
15,7:06 - 1st) ,LV 62.2%,474,37.8
16,6:27 - 1st) ,LV 59.7%,513,40.3
17,6:00 - 1st) ,LV 60.2%,540,39.8
18,5:54 - 1st) ,LV 56.9%,546,43.1
19,5:09 - 1st) ,LV 55.7%,591,44.3
20,4:54 - 1st) ,LV 52.1%,606,47.9
21,4:13 - 1st) ,LV 50.6%,647,49.4
22,3:38 - 1st) ,LV 52.8%,682,47.2
23,2:45 - 1st) ,DEN 52.3%,735,52.3
24,2:24 - 1st) ,DEN 52.4%,756,52.4
25,1:51 - 1st) ,DEN 50.9%,789,50.9
26,1:19 - 1st) ,DEN 50.3%,821,50.3
27,0:44 - 1st) ,LV 51.4%,856,48.6
28,15:00 - 2nd),LV 53.3%,900,46.7
29,14:16 - 2nd),LV 52.2%,944,47.8
30,13:40 - 2nd),LV 51.8%,980,48.2
31,13:09 - 2nd),LV 55.3%,1011,44.7
32,12:33 - 2nd),LV 56.1%,1047,43.9
33,12:28 - 2nd),LV 53.5%,1052,46.5
34,11:46 - 2nd),LV 56.9%,1094,43.1
35,11:45 - 2nd),LV 57.5%,1095,42.5
36,11:05 - 2nd),LV 60.6%,1135,39.4
37,11:01 - 2nd),DEN 50.8%,1139,50.8
38,10:27 - 2nd),LV 50.6%,1173,49.4
39,10:22 - 2nd),LV 52.0%,1178,48.0
40,9:35 - 2nd) ,LV 54.7%,1225,45.3
41,8:50 - 2nd) ,LV 56.0%,1270,44.0
42,8:03 - 2nd) ,LV 54.9%,1317,45.1
43,7:59 - 2nd) ,LV 53.1%,1321,46.9
44,7:54 - 2nd) ,LV 51.9%,1326,48.1
45,7:11 - 2nd) ,DEN 50.4%,1369,50.4
46,6:37 - 2nd) ,DEN 51.9%,1403,51.9
47,6:23 - 2nd) ,DEN 50.1%,1417,50.1
48,5:45 - 2nd) ,LV 50.7%,1455,49.3
49,5:24 - 2nd) ,LV 51.6%,1476,48.4
50,4:44 - 2nd) ,LV 53.5%,1516,46.5
51,4:06 - 2nd) ,DEN 54.6%,1554,54.6
52,3:15 - 2nd) ,LV 69.6%,1605,30.400000000000006
53,2:32 - 2nd) ,LV 65.5%,1648,34.5
54,2:00 - 2nd) ,LV 68.0%,1680,32.0
55,1:35 - 2nd) ,LV 58.2%,1705,41.8
56,1:24 - 2nd) ,LV 53.3%,1716,46.7
57,1:02 - 2nd) ,LV 56.4%,1738,43.6
58,0:40 - 2nd) ,LV 55.3%,1760,44.7
59,0:35 - 2nd) ,LV 53.4%,1765,46.6
60,0:27 - 2nd) ,LV 55.4%,1773,44.6
61,0:17 - 2nd) ,LV 61.4%,1783,38.6
62,0:08 - 2nd) ,LV 61.1%,1792,38.9
63,15:00 - 3rd),LV 62.3%,1800,37.7
64,14:30 - 3rd),LV 61.1%,1830,38.9
65,13:55 - 3rd),LV 60.6%,1865,39.4
66,13:12 - 3rd),LV 63.2%,1908,36.8
67,12:23 - 3rd),LV 66.4%,1957,33.599999999999994
