,raw_time,raw_win_pct,clean_time,BUF_win_pct
0,14:32 - 1st),BUF 61.2%,28,61.2
1,13:51 - 1st),BUF 60.6%,69,60.6
2,13:09 - 1st),BUF 63.5%,111,63.5
3,12:27 - 1st),BUF 61.6%,153,61.6
4,11:41 - 1st),BUF 66.3%,199,66.3
5,11:15 - 1st),BUF 61.8%,225,61.8
6,10:33 - 1st),BUF 58.6%,267,58.6
7,9:50 - 1st) ,BUF 57.1%,310,57.1
8,9:03 - 1st) ,BUF 68.5%,357,68.5
9,8:58 - 1st) ,BUF 70.7%,362,70.7
10,8:54 - 1st) ,BUF 69.2%,366,69.2
11,8:16 - 1st) ,BUF 67.9%,404,67.9
12,8:00 - 1st) ,BUF 68.7%,420,68.7
13,7:25 - 1st) ,BUF 69.8%,455,69.8
14,7:21 - 1st) ,BUF 71.8%,459,71.8
15,6:47 - 1st) ,BUF 69.5%,493,69.5
16,6:37 - 1st) ,BUF 68.7%,503,68.7
17,6:04 - 1st) ,BUF 69.3%,536,69.3
18,5:19 - 1st) ,BUF 56.0%,581,56.0
19,5:13 - 1st) ,BUF 59.6%,587,59.6
20,4:48 - 1st) ,BUF 59.4%,612,59.4
21,4:25 - 1st) ,BUF 57.1%,635,57.1
22,3:37 - 1st) ,BUF 51.5%,683,51.5
23,3:06 - 1st) ,BUF 54.9%,714,54.9
24,2:30 - 1st) ,BUF 53.8%,750,53.8
25,1:53 - 1st) ,BUF 56.9%,787,56.9
26,1:12 - 1st) ,BUF 56.0%,828,56.0
27,0:49 - 1st) ,BUF 59.6%,851,59.6
28,0:12 - 1st) ,BUF 59.1%,888,59.1
29,0:07 - 1st) ,BUF 54.9%,893,54.9
30,15:00 - 2nd),BUF 61.0%,900,61.0
31,14:21 - 2nd),BUF 56.4%,939,56.4
32,13:39 - 2nd),BUF 65.9%,981,65.9
33,12:57 - 2nd),BUF 67.2%,1023,67.2
34,12:48 - 2nd),BUF 60.6%,1032,60.6
35,11:59 - 2nd),BUF 68.8%,1081,68.8
36,11:54 - 2nd),BUF 70.0%,1086,70.0
37,11:20 - 2nd),BUF 67.0%,1120,67.0
38,10:50 - 2nd),BUF 65.2%,1150,65.2
39,10:10 - 2nd),BUF 62.5%,1190,62.5
40,9:28 - 2nd) ,BUF 59.5%,1232,59.5
41,8:53 - 2nd) ,BUF 59.6%,1267,59.6
42,8:13 - 2nd) ,BUF 60.2%,1307,60.2
43,7:31 - 2nd) ,BUF 56.0%,1349,56.0
44,6:45 - 2nd) ,BUF 51.9%,1395,51.9
45,6:09 - 2nd) ,BUF 55.4%,1431,55.4
46,5:30 - 2nd) ,BUF 53.8%,1470,53.8
