,raw_time,raw_win_pct,clean_time,GB_win_pct
0,14:12 - 1st),GB 69.5%,48,69.5
1,12:53 - 1st),GB 63.5%,127,63.5
2,12:18 - 1st),GB 64.1%,162,64.1
3,11:35 - 1st),GB 57.8%,205,57.8
4,10:55 - 1st),GB 60.6%,245,60.6
5,10:50 - 1st),GB 61.9%,250,61.9
6,10:04 - 1st),GB 63.5%,296,63.5
7,9:17 - 1st) ,GB 50.7%,343,50.7
8,9:10 - 1st) ,GB 54.0%,350,54.0
9,8:24 - 1st) ,GB 51.7%,396,51.7
10,8:20 - 1st) ,GB 51.8%,400,51.8
11,7:40 - 1st) ,MIN 51.8%,440,48.2
12,7:28 - 1st) ,GB 51.2%,452,51.2
13,7:04 - 1st) ,GB 53.2%,476,53.2
14,6:18 - 1st) ,GB 55.0%,522,55.0
15,5:38 - 1st) ,GB 54.1%,562,54.1
16,5:27 - 1st) ,GB 52.2%,573,52.2
17,4:50 - 1st) ,GB 50.8%,610,50.8
18,4:03 - 1st) ,GB 55.3%,657,55.3
19,3:25 - 1st) ,GB 53.9%,695,53.9
20,2:47 - 1st) ,GB 50.8%,733,50.8
21,2:44 - 1st) ,MIN 52.9%,736,47.1
22,1:58 - 1st) ,MIN 53.3%,782,46.7
23,1:52 - 1st) ,MIN 52.9%,788,47.1
24,1:13 - 1st) ,MIN 55.4%,827,44.6
25,0:30 - 1st) ,MIN 54.7%,870,45.3
26,15:00 - 2nd),MIN 53.6%,900,46.4
27,14:21 - 2nd),MIN 51.7%,939,48.3
28,14:17 - 2nd),MIN 52.5%,943,47.5
29,14:11 - 2nd),GB 51.0%,949,51.0
30,13:39 - 2nd),MIN 51.1%,981,48.9
31,12:56 - 2nd),GB 54.8%,1024,54.8
32,12:08 - 2nd),GB 57.0%,1072,57.0
33,11:22 - 2nd),GB 55.5%,1118,55.5
34,10:48 - 2nd),GB 59.6%,1152,59.6
35,10:10 - 2nd),GB 56.0%,1190,56.0
36,9:24 - 2nd) ,GB 59.3%,1236,59.3
37,8:39 - 2nd) ,GB 51.0%,1281,51.0
38,8:03 - 2nd) ,MIN 55.9%,1317,44.1
39,7:58 - 2nd) ,MIN 54.0%,1322,46.0
40,7:14 - 2nd) ,MIN 57.2%,1366,42.8
41,6:30 - 2nd) ,MIN 59.2%,1410,40.8
42,5:54 - 2nd) ,MIN 71.4%,1446,28.599999999999994
43,5:27 - 2nd) ,MIN 69.8%,1473,30.200000000000003
44,4:47 - 2nd) ,MIN 73.0%,1513,27.0
45,4:02 - 2nd) ,MIN 66.1%,1558,33.900000000000006
46,3:54 - 2nd) ,MIN 67.4%,1566,32.599999999999994
47,3:48 - 2nd) ,MIN 66.0%,1572,34.0
48,3:15 - 2nd) ,MIN 71.3%,1605,28.700000000000003
49,3:10 - 2nd) ,MIN 71.2%,1610,28.799999999999997
50,2:58 - 2nd) ,MIN 70.5%,1622,29.5
51,2:38 - 2nd) ,MIN 69.7%,1642,30.299999999999997
52,2:33 - 2nd) ,MIN 73.1%,1647,26.900000000000006
53,2:00 - 2nd) ,MIN 73.2%,1680,26.799999999999997
54,1:22 - 2nd) ,MIN 76.7%,1718,23.299999999999997
55,0:50 - 2nd) ,MIN 78.2%,1750,21.799999999999997
56,0:35 - 2nd) ,MIN 89.0%,1765,11.0
57,0:27 - 2nd) ,MIN 88.5%,1773,11.5
58,0:18 - 2nd) ,MIN 88.3%,1782,11.700000000000003
59,0:06 - 2nd) ,MIN 88.8%,1794,11.200000000000003
60,15:00 - 3rd),MIN 88.2%,1800,11.799999999999997
61,14:56 - 3rd),MIN 88.4%,1804,11.599999999999994
62,14:13 - 3rd),MIN 90.5%,1847,9.5
63,13:43 - 3rd),MIN 88.7%,1877,11.299999999999997
64,13:08 - 3rd),MIN 87.8%,1912,12.200000000000003
65,12:21 - 3rd),MIN 94.1%,1959,5.900000000000006
66,12:05 - 3rd),MIN 93.4%,1975,6.599999999999994
67,11:23 - 3rd),MIN 94.2%,2017,5.799999999999997
68,10:45 - 3rd),MIN 93.4%,2055,6.599999999999994
69,10:39 - 3rd),MIN 91.9%,2061,8.099999999999994
70,9:46 - 3rd) ,MIN 95.7%,2114,4.299999999999997
71,9:06 - 3rd) ,MIN 93.1%,2154,6.900000000000006
72,8:20 - 3rd) ,MIN 93.4%,2200,6.599999999999994
73,7:38 - 3rd) ,MIN 92.3%,2242,7.700000000000003
74,6:53 - 3rd) ,MIN 91.2%,2287,8.799999999999997
75,6:10 - 3rd) ,MIN 92.1%,2330,7.900000000000006
76,5:16 - 3rd) ,MIN 88.4%,2384,11.599999999999994
77,4:43 - 3rd) ,MIN 89.3%,2417,10.700000000000003
78,4:26 - 3rd) ,MIN 91.1%,2434,8.900000000000006
79,3:47 - 3rd) ,MIN 89.9%,2473,10.099999999999994
80,2:45 - 3rd) ,MIN 90.8%,2535,9.200000000000003
81,2:07 - 3rd) ,MIN 90.3%,2573,9.700000000000003
82,1:21 - 3rd) ,MIN 91.1%,2619,8.900000000000006
83,1:13 - 3rd) ,MIN 92.1%,2627,7.900000000000006
84,0:33 - 3rd) ,MIN 90.1%,2667,9.900000000000006
85,15:00 - 4th),MIN 91.8%,2700,8.200000000000003
86,14:14 - 4th),MIN 89.1%,2746,10.900000000000006
87,13:35 - 4th),MIN 91.2%,2785,8.799999999999997
88,12:54 - 4th),MIN 93.2%,2826,6.799999999999997
89,12:49 - 4th),MIN 94.1%,2831,5.900000000000006
90,12:06 - 4th),MIN 94.7%,2874,5.299999999999997
91,11:58 - 4th),MIN 94.2%,2882,5.799999999999997
92,11:52 - 4th),MIN 95.9%,2888,4.099999999999994
93,11:15 - 4th),MIN 95.5%,2925,4.5
94,11:09 - 4th),MIN 95.4%,2931,4.599999999999994
95,10:41 - 4th),MIN 97.3%,2959,2.700000000000003
96,10:11 - 4th),MIN 97.8%,2989,2.200000000000003
97,9:30 - 4th) ,MIN 98.3%,3030,1.7000000000000028
98,8:52 - 4th) ,MIN 98.9%,3068,1.0999999999999943
99,8:20 - 4th) ,MIN 99.2%,3100,0.7999999999999972
100,7:45 - 4th) ,MIN 99.1%,3135,0.9000000000000057
101,7:03 - 4th) ,MIN 99.3%,3177,0.7000000000000028
102,6:58 - 4th) ,MIN 99.3%,3182,0.7000000000000028
103,6:48 - 4th) ,MIN 99.3%,3192,0.7000000000000028
104,6:17 - 4th) ,MIN 99.3%,3223,0.7000000000000028
105,5:52 - 4th) ,MIN 99.6%,3248,0.4000000000000057
106,5:10 - 4th) ,MIN 99.5%,3290,0.5
107,4:36 - 4th) ,MIN 99.8%,3324,0.20000000000000284
108,4:29 - 4th) ,MIN 99.8%,3331,0.20000000000000284
109,4:07 - 4th) ,MIN 99.6%,3353,0.4000000000000057
110,4:01 - 4th) ,MIN 99.4%,3359,0.5999999999999943
111,3:52 - 4th) ,MIN 99.5%,3368,0.5
112,3:45 - 4th) ,MIN 99.9%,3375,0.09999999999999432
113,3:37 - 4th) ,MIN 99.9%,3383,0.09999999999999432
114,3:28 - 4th) ,MIN 99.9%,3392,0.09999999999999432
115,2:44 - 4th) ,MIN 99.9%,3436,0.09999999999999432
116,2:00 - 4th) ,MIN 99.9%,3480,0.09999999999999432
117,1:15 - 4th) ,MIN 99.9%,3525,0.09999999999999432
118,1:02 - 4th) ,MIN 99.9%,3538,0.09999999999999432
119,0:39 - 4th) ,MIN 99.9%,3561,0.09999999999999432
120,0:17 - 4th) ,MIN 99.9%,3583,0.09999999999999432
121,0:01 - 4th) ,MIN 99.9%,3599,0.09999999999999432
122,0:00 - 4th) ,MIN 100%,3600,0.0
