,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:48 - 1st),BAL 55.3%,12,55.3
1,14:20 - 1st),BAL 54.6%,40,54.6
2,13:38 - 1st),BAL 51.2%,82,51.2
3,13:23 - 1st),BAL 53.4%,97,53.4
4,13:11 - 1st),NE 50.5%,109,49.5
5,12:47 - 1st),BAL 50.6%,133,50.6
6,12:09 - 1st),BAL 53.0%,171,53.0
7,11:48 - 1st),BAL 52.0%,192,52.0
8,11:18 - 1st),BAL 55.4%,222,55.4
9,10:32 - 1st),BAL 55.9%,268,55.9
10,10:25 - 1st),BAL 56.0%,275,56.0
11,9:42 - 1st) ,BAL 54.5%,318,54.5
12,9:34 - 1st) ,BAL 57.6%,326,57.6
13,9:09 - 1st) ,BAL 56.7%,351,56.7
14,8:25 - 1st) ,BAL 60.5%,395,60.5
15,7:40 - 1st) ,BAL 62.4%,440,62.4
16,7:03 - 1st) ,BAL 63.3%,477,63.3
17,6:20 - 1st) ,BAL 64.8%,520,64.8
18,5:39 - 1st) ,BAL 60.5%,561,60.5
19,4:46 - 1st) ,BAL 65.7%,614,65.7
20,4:09 - 1st) ,BAL 69.5%,651,69.5
21,4:04 - 1st) ,BAL 69.5%,656,69.5
22,3:55 - 1st) ,BAL 67.8%,665,67.8
23,3:17 - 1st) ,BAL 67.1%,703,67.1
24,2:43 - 1st) ,BAL 60.5%,737,60.5
25,2:11 - 1st) ,BAL 62.3%,769,62.3
26,1:29 - 1st) ,BAL 65.2%,811,65.2
27,1:15 - 1st) ,BAL 64.9%,825,64.9
28,0:21 - 1st) ,BAL 59.6%,879,59.6
29,0:00 - 1st) ,BAL 59.5%,900,59.5
30,14:50 - 2nd),BAL 65.1%,910,65.1
31,14:39 - 2nd),BAL 63.1%,921,63.1
32,14:16 - 2nd),BAL 62.0%,944,62.0
33,13:37 - 2nd),BAL 60.3%,983,60.3
34,13:06 - 2nd),BAL 59.4%,1014,59.4
35,12:53 - 2nd),BAL 59.3%,1027,59.3
36,12:42 - 2nd),BAL 60.4%,1038,60.4
37,11:53 - 2nd),BAL 60.1%,1087,60.1
38,11:08 - 2nd),BAL 56.2%,1132,56.2
39,10:37 - 2nd),BAL 58.5%,1163,58.5
40,10:00 - 2nd),BAL 60.3%,1200,60.3
41,9:47 - 2nd) ,BAL 60.3%,1213,60.3
42,9:19 - 2nd) ,BAL 66.1%,1241,66.1
43,9:01 - 2nd) ,BAL 64.1%,1259,64.1
44,8:24 - 2nd) ,BAL 62.4%,1296,62.4
45,8:12 - 2nd) ,BAL 54.8%,1308,54.8
46,8:02 - 2nd) ,BAL 53.7%,1318,53.7
47,7:29 - 2nd) ,BAL 52.4%,1351,52.4
48,7:15 - 2nd) ,BAL 54.6%,1365,54.6
49,7:07 - 2nd) ,NE 51.2%,1373,48.8
50,6:28 - 2nd) ,BAL 51.7%,1412,51.7
51,5:58 - 2nd) ,NE 56.0%,1442,44.0
52,5:52 - 2nd) ,NE 59.6%,1448,40.4
53,5:07 - 2nd) ,NE 54.3%,1493,45.7
54,4:28 - 2nd) ,NE 55.5%,1532,44.5
55,3:45 - 2nd) ,NE 52.2%,1575,47.8
56,3:05 - 2nd) ,NE 50.0%,1615,50.0
57,2:21 - 2nd) ,BAL 52.5%,1659,52.5
58,1:51 - 2nd) ,BAL 54.3%,1689,54.3
59,1:11 - 2nd) ,BAL 51.9%,1729,51.9
60,0:30 - 2nd) ,BAL 63.1%,1770,63.1
61,0:18 - 2nd) ,BAL 63.5%,1782,63.5
62,0:08 - 2nd) ,BAL 64.1%,1792,64.1
63,15:00 - 3rd),NE 50.6%,1800,49.4
64,14:53 - 3rd),BAL 55.1%,1807,55.1
65,14:25 - 3rd),NE 51.6%,1835,48.4
66,13:58 - 3rd),NE 53.7%,1862,46.3
67,13:09 - 3rd),NE 52.2%,1911,47.8
68,12:42 - 3rd),NE 61.5%,1938,38.5
69,12:19 - 3rd),NE 57.5%,1961,42.5
70,12:06 - 3rd),NE 66.1%,1974,33.900000000000006
71,11:44 - 3rd),NE 69.0%,1996,31.0
72,11:31 - 3rd),NE 62.4%,2009,37.6
73,10:48 - 3rd),NE 58.7%,2052,41.3
74,10:04 - 3rd),NE 50.8%,2096,49.2
75,9:22 - 3rd) ,NE 55.5%,2138,44.5
76,8:52 - 3rd) ,NE 55.6%,2168,44.4
77,8:39 - 3rd) ,BAL 53.9%,2181,53.9
78,8:33 - 3rd) ,BAL 56.2%,2187,56.2
79,7:54 - 3rd) ,BAL 51.8%,2226,51.8
80,7:34 - 3rd) ,BAL 51.5%,2246,51.5
81,6:51 - 3rd) ,BAL 53.9%,2289,53.9
82,6:41 - 3rd) ,BAL 58.1%,2299,58.1
83,6:18 - 3rd) ,BAL 63.6%,2322,63.6
84,6:08 - 3rd) ,BAL 71.3%,2332,71.3
85,5:34 - 3rd) ,BAL 68.5%,2366,68.5
86,5:22 - 3rd) ,BAL 69.4%,2378,69.4
87,4:41 - 3rd) ,BAL 78.5%,2419,78.5
88,4:30 - 3rd) ,BAL 78.9%,2430,78.9
89,4:04 - 3rd) ,BAL 85.8%,2456,85.8
90,3:52 - 3rd) ,BAL 83.2%,2468,83.2
91,3:13 - 3rd) ,BAL 84.5%,2507,84.5
92,2:38 - 3rd) ,BAL 81.0%,2542,81.0
93,2:33 - 3rd) ,BAL 87.3%,2547,87.3
94,2:21 - 3rd) ,BAL 86.3%,2559,86.3
95,1:46 - 3rd) ,BAL 84.3%,2594,84.3
96,0:59 - 3rd) ,BAL 81.5%,2641,81.5
97,0:21 - 3rd) ,BAL 84.4%,2679,84.4
98,0:00 - 3rd) ,BAL 84.6%,2700,84.6
99,14:50 - 4th),BAL 84.0%,2710,84.0
100,14:05 - 4th),BAL 86.2%,2755,86.2
101,13:24 - 4th),BAL 79.6%,2796,79.6
102,12:59 - 4th),BAL 76.2%,2821,76.2
103,12:39 - 4th),BAL 75.6%,2841,75.6
104,12:25 - 4th),BAL 62.9%,2855,62.9
105,12:12 - 4th),BAL 63.3%,2868,63.3
106,11:44 - 4th),BAL 59.3%,2896,59.3
107,11:14 - 4th),BAL 52.1%,2926,52.1
108,10:29 - 4th),BAL 57.2%,2971,57.2
109,9:45 - 4th) ,BAL 61.0%,3015,61.0
110,9:06 - 4th) ,BAL 78.1%,3054,78.1
111,8:58 - 4th) ,BAL 75.1%,3062,75.1
112,8:18 - 4th) ,BAL 83.9%,3102,83.9
113,7:32 - 4th) ,BAL 82.5%,3148,82.5
114,6:57 - 4th) ,BAL 80.9%,3183,80.9
115,6:43 - 4th) ,BAL 76.6%,3197,76.6
116,6:36 - 4th) ,BAL 73.5%,3204,73.5
117,6:24 - 4th) ,BAL 76.5%,3216,76.5
118,5:35 - 4th) ,BAL 83.0%,3265,83.0
119,5:28 - 4th) ,BAL 79.7%,3272,79.7
120,5:18 - 4th) ,BAL 89.8%,3282,89.8
121,4:36 - 4th) ,BAL 91.3%,3324,91.3
122,3:55 - 4th) ,BAL 94.6%,3365,94.6
123,3:12 - 4th) ,BAL 97.4%,3408,97.4
124,3:07 - 4th) ,BAL 99.5%,3413,99.5
125,3:00 - 4th) ,BAL 99.2%,3420,99.2
126,2:48 - 4th) ,BAL 99.7%,3432,99.7
127,2:23 - 4th) ,BAL 99.0%,3457,99.0
128,1:55 - 4th) ,BAL 99.9%,3485,99.9
129,1:46 - 4th) ,BAL 99.9%,3494,99.9
130,1:13 - 4th) ,BAL 99.9%,3527,99.9
131,0:30 - 4th) ,BAL 99.9%,3570,99.9
132,0:00 - 4th) ,BAL 100%,3600,100.0
