,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:24 - 1st),BAL 53.5%,156,53.5
1,13:45 - 1st),BAL 55.4%,195,55.4
2,13:12 - 1st),BAL 57.6%,228,57.6
3,13:01 - 1st),BAL 54.5%,239,54.5
4,12:17 - 1st),BAL 57.2%,283,57.2
5,11:42 - 1st),BAL 55.1%,318,55.1
6,11:37 - 1st),BAL 53.8%,323,53.8
7,10:54 - 1st),BAL 51.9%,366,51.9
8,10:49 - 1st),BAL 55.4%,371,55.4
9,10:36 - 1st),BAL 54.6%,384,54.6
10,10:23 - 1st),BAL 52.8%,397,52.8
11,9:47 - 1st) ,BAL 56.6%,433,56.6
12,9:11 - 1st) ,BAL 58.6%,469,58.6
13,8:31 - 1st) ,BAL 57.8%,509,57.8
14,8:25 - 1st) ,BAL 56.2%,515,56.2
15,7:48 - 1st) ,BAL 55.5%,552,55.5
16,7:14 - 1st) ,BAL 59.1%,586,59.1
17,6:35 - 1st) ,BAL 61.3%,625,61.3
18,5:51 - 1st) ,BAL 59.3%,669,59.3
19,5:12 - 1st) ,BAL 57.6%,708,57.6
20,4:25 - 1st) ,BAL 63.0%,755,63.0
21,3:43 - 1st) ,BAL 59.7%,797,59.7
22,2:58 - 1st) ,BAL 63.3%,842,63.3
23,2:09 - 1st) ,BAL 65.2%,891,65.2
24,1:23 - 1st) ,BAL 72.4%,937,72.4
25,1:20 - 1st) ,BAL 73.6%,940,73.6
26,1:00 - 1st) ,BAL 75.0%,960,75.0
27,0:55 - 1st) ,BAL 75.5%,965,75.5
28,0:08 - 1st) ,BAL 77.1%,1012,77.1
29,15:00 - 2nd),BAL 75.7%,1020,75.7
30,14:45 - 2nd),BAL 74.5%,1035,74.5
31,14:07 - 2nd),BAL 74.1%,1073,74.1
32,13:30 - 2nd),BAL 77.0%,1110,77.0
33,12:54 - 2nd),BAL 75.5%,1146,75.5
34,12:12 - 2nd),BAL 74.6%,1188,74.6
35,12:06 - 2nd),BAL 72.9%,1194,72.9
36,11:53 - 2nd),BAL 72.7%,1207,72.7
37,11:46 - 2nd),BAL 72.8%,1214,72.8
38,11:13 - 2nd),BAL 72.1%,1247,72.1
39,10:53 - 2nd),BAL 74.9%,1267,74.9
40,10:10 - 2nd),BAL 74.4%,1310,74.4
41,9:55 - 2nd) ,BAL 75.8%,1325,75.8
42,9:14 - 2nd) ,BAL 74.7%,1366,74.7
43,9:05 - 2nd) ,BAL 72.2%,1375,72.2
44,9:00 - 2nd) ,BAL 72.4%,1380,72.4
45,8:32 - 2nd) ,BAL 73.9%,1408,73.9
46,7:50 - 2nd) ,BAL 77.0%,1450,77.0
47,7:10 - 2nd) ,BAL 76.3%,1490,76.3
48,6:29 - 2nd) ,BAL 75.5%,1531,75.5
49,5:46 - 2nd) ,BAL 80.3%,1574,80.3
50,5:07 - 2nd) ,BAL 82.2%,1613,82.2
51,4:26 - 2nd) ,BAL 80.9%,1654,80.9
52,4:19 - 2nd) ,BAL 84.5%,1661,84.5
53,3:33 - 2nd) ,BAL 85.9%,1707,85.9
54,2:48 - 2nd) ,BAL 87.0%,1752,87.0
55,2:00 - 2nd) ,BAL 89.2%,1800,89.2
56,1:56 - 2nd) ,BAL 89.0%,1804,89.0
57,1:36 - 2nd) ,BAL 87.6%,1824,87.6
58,1:21 - 2nd) ,BAL 86.7%,1839,86.7
59,0:57 - 2nd) ,BAL 87.4%,1863,87.4
60,0:38 - 2nd) ,BAL 85.0%,1882,85.0
61,0:25 - 2nd) ,BAL 83.2%,1895,83.2
62,0:20 - 2nd) ,BAL 84.4%,1900,84.4
63,0:11 - 2nd) ,BAL 85.5%,1909,85.5
64,15:00 - 3rd),BAL 85.7%,1920,85.7
65,14:24 - 3rd),BAL 85.0%,1956,85.0
66,13:40 - 3rd),BAL 86.3%,2000,86.3
67,13:12 - 3rd),BAL 88.3%,2028,88.3
68,12:33 - 3rd),BAL 88.7%,2067,88.7
69,11:54 - 3rd),BAL 89.8%,2106,89.8
70,11:14 - 3rd),BAL 89.5%,2146,89.5
71,10:29 - 3rd),BAL 91.8%,2191,91.8
72,9:53 - 3rd) ,BAL 91.7%,2227,91.7
73,9:22 - 3rd) ,BAL 90.7%,2258,90.7
74,9:14 - 3rd) ,BAL 90.2%,2266,90.2
75,8:34 - 3rd) ,BAL 89.6%,2306,89.6
