,raw_time,raw_win_pct,clean_time,CIN_win_pct
0,14:29 - 1st),CIN 58.2%,151,58.2
1,13:43 - 1st),CIN 54.8%,197,54.8
2,13:05 - 1st),CIN 55.2%,235,55.2
3,12:54 - 1st),CIN 57.0%,246,57.0
4,12:22 - 1st),CIN 58.1%,278,58.1
5,12:16 - 1st),CIN 60.0%,284,60.0
6,12:12 - 1st),NO 50.5%,288,49.5
7,11:58 - 1st),CIN 50.3%,302,50.3
8,11:19 - 1st),NO 53.6%,341,46.4
9,10:33 - 1st),NO 59.4%,387,40.6
10,10:28 - 1st),NO 58.2%,392,41.8
11,9:54 - 1st) ,NO 58.0%,426,42.0
12,9:21 - 1st) ,NO 59.0%,459,41.0
13,8:40 - 1st) ,NO 60.5%,500,39.5
14,8:35 - 1st) ,NO 62.7%,505,37.3
15,8:20 - 1st) ,NO 63.8%,520,36.2
16,7:40 - 1st) ,NO 62.6%,560,37.4
17,7:34 - 1st) ,NO 61.3%,566,38.7
18,6:54 - 1st) ,NO 59.5%,606,40.5
19,6:40 - 1st) ,NO 61.2%,620,38.8
20,6:09 - 1st) ,NO 61.8%,651,38.2
21,5:32 - 1st) ,NO 57.0%,688,43.0
22,4:58 - 1st) ,NO 58.5%,722,41.5
23,4:24 - 1st) ,NO 55.2%,756,44.8
24,3:53 - 1st) ,NO 56.1%,787,43.9
25,3:09 - 1st) ,NO 52.9%,831,47.1
26,3:01 - 1st) ,NO 54.3%,839,45.7
27,2:24 - 1st) ,NO 55.6%,876,44.4
28,1:43 - 1st) ,CIN 50.6%,917,50.6
29,1:01 - 1st) ,NO 53.3%,959,46.7
30,0:56 - 1st) ,NO 50.5%,964,49.5
31,0:45 - 1st) ,CIN 54.8%,975,54.8
32,0:12 - 1st) ,CIN 51.5%,1008,51.5
33,15:00 - 2nd),NO 50.6%,1020,49.4
34,14:24 - 2nd),CIN 51.7%,1056,51.7
35,13:39 - 2nd),NO 61.5%,1101,38.5
36,13:31 - 2nd),NO 66.6%,1109,33.400000000000006
37,12:47 - 2nd),NO 66.4%,1153,33.599999999999994
38,12:39 - 2nd),NO 69.5%,1161,30.5
39,12:04 - 2nd),NO 65.2%,1196,34.8
40,11:31 - 2nd),NO 63.9%,1229,36.1
41,11:21 - 2nd),NO 73.6%,1239,26.400000000000006
42,10:46 - 2nd),NO 72.1%,1274,27.900000000000006
43,10:41 - 2nd),NO 70.5%,1279,29.5
44,10:28 - 2nd),NO 72.1%,1292,27.900000000000006
45,9:47 - 2nd) ,NO 69.9%,1333,30.099999999999994
46,9:14 - 2nd) ,NO 70.9%,1366,29.099999999999994
47,8:31 - 2nd) ,NO 66.7%,1409,33.3
48,7:55 - 2nd) ,NO 66.5%,1445,33.5
49,7:22 - 2nd) ,NO 67.8%,1478,32.2
50,7:17 - 2nd) ,NO 63.9%,1483,36.1
51,6:37 - 2nd) ,NO 65.8%,1523,34.2
52,5:57 - 2nd) ,NO 67.3%,1563,32.7
53,5:53 - 2nd) ,NO 66.8%,1567,33.2
54,5:44 - 2nd) ,NO 56.3%,1576,43.7
55,5:09 - 2nd) ,NO 55.4%,1611,44.6
56,4:27 - 2nd) ,NO 59.8%,1653,40.2
57,3:53 - 2nd) ,NO 57.8%,1687,42.2
58,3:21 - 2nd) ,NO 56.8%,1719,43.2
59,3:17 - 2nd) ,NO 63.5%,1723,36.5
60,2:33 - 2nd) ,NO 66.2%,1767,33.8
61,2:00 - 2nd) ,NO 63.6%,1800,36.4
62,1:56 - 2nd) ,NO 63.1%,1804,36.9
63,1:46 - 2nd) ,NO 66.7%,1814,33.3
64,1:41 - 2nd) ,NO 65.0%,1819,35.0
65,0:53 - 2nd) ,NO 64.6%,1867,35.400000000000006
66,0:05 - 2nd) ,NO 66.1%,1915,33.900000000000006
67,15:00 - 3rd),NO 66.3%,1920,33.7
68,14:55 - 3rd),NO 63.1%,1925,36.9
69,14:16 - 3rd),NO 68.7%,1964,31.299999999999997
70,13:35 - 3rd),NO 65.9%,2005,34.099999999999994
71,12:59 - 3rd),NO 65.9%,2041,34.099999999999994
72,12:17 - 3rd),NO 67.5%,2083,32.5
73,11:31 - 3rd),NO 62.7%,2129,37.3
74,11:04 - 3rd),NO 72.0%,2156,28.0
75,10:37 - 3rd),NO 70.4%,2183,29.599999999999994
76,10:00 - 3rd),NO 69.1%,2220,30.900000000000006
77,9:53 - 3rd) ,NO 75.7%,2227,24.299999999999997
78,9:12 - 3rd) ,NO 78.3%,2268,21.700000000000003
79,8:32 - 3rd) ,NO 76.8%,2308,23.200000000000003
80,8:00 - 3rd) ,NO 76.1%,2340,23.900000000000006
81,7:21 - 3rd) ,NO 74.9%,2379,25.099999999999994
82,7:12 - 3rd) ,NO 76.0%,2388,24.0
83,7:06 - 3rd) ,NO 74.3%,2394,25.700000000000003
84,6:28 - 3rd) ,NO 75.8%,2432,24.200000000000003
85,5:58 - 3rd) ,NO 73.4%,2462,26.599999999999994
86,5:16 - 3rd) ,NO 68.8%,2504,31.200000000000003
87,4:44 - 3rd) ,NO 69.0%,2536,31.0
88,4:10 - 3rd) ,NO 65.8%,2570,34.2
89,3:30 - 3rd) ,NO 55.9%,2610,44.1
90,3:24 - 3rd) ,NO 55.1%,2616,44.9
91,2:46 - 3rd) ,NO 61.3%,2654,38.7
92,2:04 - 3rd) ,NO 63.1%,2696,36.9
93,1:38 - 3rd) ,NO 61.3%,2722,38.7
94,0:58 - 3rd) ,NO 65.3%,2762,34.7
95,0:17 - 3rd) ,NO 64.4%,2803,35.599999999999994
96,15:00 - 4th),NO 68.9%,2820,31.099999999999994
97,14:18 - 4th),NO 68.0%,2862,32.0
98,13:42 - 4th),NO 66.9%,2898,33.099999999999994
99,13:02 - 4th),NO 74.8%,2938,25.200000000000003
100,12:23 - 4th),NO 71.7%,2977,28.299999999999997
101,12:18 - 4th),NO 70.0%,2982,30.0
102,11:37 - 4th),NO 67.9%,3023,32.099999999999994
103,11:07 - 4th),NO 71.6%,3053,28.400000000000006
104,11:02 - 4th),NO 71.9%,3058,28.099999999999994
105,10:24 - 4th),NO 65.4%,3096,34.599999999999994
106,9:35 - 4th) ,NO 64.7%,3145,35.3
107,8:54 - 4th) ,NO 63.2%,3186,36.8
108,8:34 - 4th) ,NO 66.4%,3206,33.599999999999994
109,8:29 - 4th) ,NO 68.4%,3211,31.599999999999994
110,7:47 - 4th) ,NO 68.7%,3253,31.299999999999997
111,7:12 - 4th) ,NO 61.8%,3288,38.2
112,6:32 - 4th) ,NO 58.6%,3328,41.4
113,5:55 - 4th) ,NO 65.5%,3365,34.5
114,5:12 - 4th) ,NO 78.6%,3408,21.400000000000006
115,4:32 - 4th) ,NO 75.2%,3448,24.799999999999997
116,3:42 - 4th) ,NO 67.5%,3498,32.5
117,3:02 - 4th) ,NO 69.5%,3538,30.5
118,2:19 - 4th) ,NO 57.9%,3581,42.1
119,2:16 - 4th) ,NO 54.1%,3584,45.9
120,1:57 - 4th) ,CIN 69.8%,3603,69.8
121,1:39 - 4th) ,CIN 84.2%,3621,84.2
122,1:34 - 4th) ,CIN 83.3%,3626,83.3
123,1:11 - 4th) ,CIN 91.8%,3649,91.8
124,1:02 - 4th) ,CIN 89.7%,3658,89.7
125,0:48 - 4th) ,CIN 81.7%,3672,81.7
126,0:44 - 4th) ,CIN 86.7%,3676,86.7
127,0:34 - 4th) ,CIN 99.9%,3686,99.9
128,0:25 - 4th) ,CIN 99.9%,3695,99.9
129,0:00 - 4th) ,CIN 100%,3720,100.0
