,raw_time,raw_win_pct,clean_time,CAR_win_pct
0,14:52 - 1st),NYG 52.2%,8,47.8
1,14:13 - 1st),NYG 50.8%,47,49.2
2,13:29 - 1st),CAR 50.2%,91,50.2
3,12:50 - 1st),NYG 50.8%,130,49.2
4,12:49 - 1st),NYG 52.1%,131,47.9
5,12:07 - 1st),CAR 52.2%,173,52.2
6,11:40 - 1st),CAR 51.5%,200,51.5
7,11:32 - 1st),NYG 51.8%,208,48.2
8,10:54 - 1st),NYG 53.2%,246,46.8
9,10:27 - 1st),NYG 59.8%,273,40.2
10,10:17 - 1st),NYG 57.2%,283,42.8
11,9:39 - 1st) ,NYG 59.0%,321,41.0
12,8:53 - 1st) ,NYG 56.4%,367,43.6
13,8:16 - 1st) ,NYG 59.7%,404,40.3
14,7:43 - 1st) ,NYG 60.7%,437,39.3
15,7:03 - 1st) ,NYG 62.1%,477,37.9
16,6:20 - 1st) ,NYG 64.9%,520,35.099999999999994
17,5:41 - 1st) ,NYG 62.5%,559,37.5
18,5:33 - 1st) ,NYG 68.7%,567,31.299999999999997
19,4:46 - 1st) ,NYG 64.8%,614,35.2
20,3:59 - 1st) ,NYG 59.8%,661,40.2
21,2:30 - 1st) ,NYG 60.3%,750,39.7
22,2:26 - 1st) ,NYG 58.3%,754,41.7
23,1:39 - 1st) ,NYG 59.2%,801,40.8
24,1:08 - 1st) ,NYG 61.4%,832,38.6
25,1:04 - 1st) ,NYG 58.5%,836,41.5
26,0:36 - 1st) ,NYG 64.2%,864,35.8
27,0:05 - 1st) ,NYG 57.9%,895,42.1
28,15:00 - 2nd),NYG 60.2%,900,39.8
29,14:55 - 2nd),NYG 55.6%,905,44.4
30,14:31 - 2nd),NYG 51.3%,929,48.7
31,13:52 - 2nd),NYG 54.1%,968,45.9
32,13:11 - 2nd),NYG 57.3%,1009,42.7
33,12:23 - 2nd),NYG 58.4%,1057,41.6
34,12:15 - 2nd),NYG 56.0%,1065,44.0
35,11:37 - 2nd),NYG 57.3%,1103,42.7
36,10:52 - 2nd),NYG 57.2%,1148,42.8
37,10:11 - 2nd),NYG 56.1%,1189,43.9
38,9:38 - 2nd) ,NYG 56.2%,1222,43.8
39,9:00 - 2nd) ,NYG 54.2%,1260,45.8
40,8:49 - 2nd) ,NYG 57.5%,1271,42.5
41,8:45 - 2nd) ,NYG 54.9%,1275,45.1
42,8:10 - 2nd) ,NYG 52.8%,1310,47.2
43,7:35 - 2nd) ,NYG 54.3%,1345,45.7
44,6:56 - 2nd) ,NYG 54.4%,1384,45.6
45,6:17 - 2nd) ,NYG 58.5%,1423,41.5
46,6:13 - 2nd) ,NYG 57.5%,1427,42.5
47,6:04 - 2nd) ,NYG 56.9%,1436,43.1
48,5:38 - 2nd) ,NYG 55.5%,1462,44.5
49,5:35 - 2nd) ,NYG 52.6%,1465,47.4
50,5:28 - 2nd) ,NYG 51.3%,1472,48.7
51,5:19 - 2nd) ,CAR 51.1%,1481,51.1
52,4:38 - 2nd) ,CAR 50.2%,1522,50.2
53,4:01 - 2nd) ,CAR 53.3%,1559,53.3
54,3:17 - 2nd) ,CAR 54.0%,1603,54.0
55,2:35 - 2nd) ,CAR 54.6%,1645,54.6
56,2:00 - 2nd) ,CAR 57.1%,1680,57.1
57,1:21 - 2nd) ,NYG 50.3%,1719,49.7
58,1:14 - 2nd) ,CAR 50.5%,1726,50.5
59,1:05 - 2nd) ,NYG 51.7%,1735,48.3
60,0:56 - 2nd) ,CAR 50.9%,1744,50.9
61,0:30 - 2nd) ,CAR 51.8%,1770,51.8
62,0:26 - 2nd) ,CAR 52.6%,1774,52.6
63,15:00 - 3rd),CAR 51.1%,1800,51.1
64,14:26 - 3rd),CAR 55.2%,1834,55.2
65,13:37 - 3rd),CAR 57.0%,1883,57.0
66,13:27 - 3rd),CAR 61.8%,1893,61.8
67,12:59 - 3rd),CAR 67.0%,1921,67.0
68,12:27 - 3rd),CAR 75.8%,1953,75.8
69,12:20 - 3rd),CAR 76.8%,1960,76.8
70,11:42 - 3rd),CAR 71.4%,1998,71.4
71,11:15 - 3rd),CAR 68.8%,2025,68.8
72,10:47 - 3rd),CAR 67.6%,2053,67.6
73,10:15 - 3rd),CAR 63.9%,2085,63.9
74,9:35 - 3rd) ,CAR 66.4%,2125,66.4
75,9:19 - 3rd) ,CAR 57.0%,2141,57.0
76,9:09 - 3rd) ,CAR 55.5%,2151,55.5
77,8:37 - 3rd) ,CAR 59.2%,2183,59.2
78,8:14 - 3rd) ,CAR 55.7%,2206,55.7
79,8:09 - 3rd) ,CAR 56.1%,2211,56.1
80,7:27 - 3rd) ,CAR 52.6%,2253,52.6
81,6:46 - 3rd) ,CAR 52.7%,2294,52.7
82,6:39 - 3rd) ,CAR 52.7%,2301,52.7
83,6:08 - 3rd) ,CAR 50.2%,2332,50.2
84,5:37 - 3rd) ,CAR 52.6%,2363,52.6
85,5:07 - 3rd) ,CAR 50.9%,2393,50.9
86,4:58 - 3rd) ,CAR 56.8%,2402,56.8
87,4:51 - 3rd) ,CAR 54.9%,2409,54.9
88,4:10 - 3rd) ,CAR 54.4%,2450,54.4
89,3:27 - 3rd) ,CAR 51.3%,2493,51.3
90,3:21 - 3rd) ,CAR 54.0%,2499,54.0
91,3:14 - 3rd) ,CAR 55.6%,2506,55.6
92,2:48 - 3rd) ,CAR 56.7%,2532,56.7
93,2:08 - 3rd) ,CAR 59.8%,2572,59.8
94,1:34 - 3rd) ,CAR 58.4%,2606,58.4
95,1:24 - 3rd) ,CAR 55.3%,2616,55.3
