,raw_time,raw_win_pct,clean_time,CHI_win_pct
0,14:36 - 1st),NYG 65.2%,24,34.8
1,13:58 - 1st),NYG 62.9%,62,37.1
2,13:52 - 1st),NYG 64.0%,68,36.0
3,13:43 - 1st),NYG 65.5%,77,34.5
4,13:03 - 1st),NYG 61.4%,117,38.6
5,12:27 - 1st),NYG 58.8%,153,41.2
6,11:50 - 1st),NYG 59.5%,190,40.5
7,11:10 - 1st),NYG 60.3%,230,39.7
8,10:26 - 1st),NYG 52.8%,274,47.2
9,10:00 - 1st),NYG 55.6%,300,44.4
10,9:19 - 1st) ,NYG 56.8%,341,43.2
11,8:37 - 1st) ,NYG 58.7%,383,41.3
12,8:27 - 1st) ,NYG 57.5%,393,42.5
13,7:49 - 1st) ,NYG 61.7%,431,38.3
14,7:17 - 1st) ,NYG 59.8%,463,40.2
15,6:36 - 1st) ,NYG 63.7%,504,36.3
16,5:55 - 1st) ,NYG 65.8%,545,34.2
17,5:06 - 1st) ,NYG 71.8%,594,28.200000000000003
18,5:00 - 1st) ,NYG 64.0%,600,36.0
19,4:17 - 1st) ,NYG 65.5%,643,34.5
20,3:39 - 1st) ,NYG 60.6%,681,39.4
21,3:37 - 1st) ,NYG 64.1%,683,35.900000000000006
22,2:57 - 1st) ,NYG 64.5%,723,35.5
23,2:14 - 1st) ,NYG 66.8%,766,33.2
24,1:30 - 1st) ,NYG 67.8%,810,32.2
25,0:48 - 1st) ,NYG 66.3%,852,33.7
26,0:09 - 1st) ,NYG 68.8%,891,31.200000000000003
27,15:00 - 2nd),NYG 66.8%,900,33.2
28,14:53 - 2nd),NYG 65.5%,907,34.5
29,14:12 - 2nd),NYG 63.1%,948,36.9
30,14:07 - 2nd),NYG 62.9%,953,37.1
31,13:59 - 2nd),NYG 64.3%,961,35.7
32,13:23 - 2nd),NYG 65.2%,997,34.8
33,13:16 - 2nd),NYG 60.6%,1004,39.4
34,12:52 - 2nd),NYG 58.8%,1028,41.2
35,12:27 - 2nd),NYG 61.0%,1053,39.0
36,12:22 - 2nd),NYG 56.5%,1058,43.5
37,11:43 - 2nd),NYG 59.5%,1097,40.5
38,11:03 - 2nd),NYG 61.6%,1137,38.4
39,10:22 - 2nd),NYG 53.3%,1178,46.7
40,9:38 - 2nd) ,NYG 64.4%,1222,35.599999999999994
41,9:32 - 2nd) ,NYG 68.4%,1228,31.599999999999994
42,8:50 - 2nd) ,NYG 71.2%,1270,28.799999999999997
43,8:25 - 2nd) ,NYG 69.7%,1295,30.299999999999997
44,7:48 - 2nd) ,NYG 69.2%,1332,30.799999999999997
45,7:14 - 2nd) ,NYG 69.5%,1366,30.5
46,6:45 - 2nd) ,NYG 74.3%,1395,25.700000000000003
47,5:57 - 2nd) ,NYG 72.0%,1443,28.0
48,5:17 - 2nd) ,NYG 79.1%,1483,20.900000000000006
49,4:39 - 2nd) ,NYG 79.1%,1521,20.900000000000006
50,4:35 - 2nd) ,NYG 82.2%,1525,17.799999999999997
