,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:55 - 1st),BAL 72.2%,5,72.2
1,14:18 - 1st),BAL 75.0%,42,75.0
2,14:01 - 1st),BAL 77.1%,59,77.1
3,13:52 - 1st),BAL 77.3%,68,77.3
4,13:42 - 1st),BAL 76.1%,78,76.1
5,13:19 - 1st),BAL 75.5%,101,75.5
6,12:41 - 1st),BAL 78.0%,139,78.0
7,12:01 - 1st),BAL 75.0%,179,75.0
8,11:19 - 1st),BAL 74.5%,221,74.5
9,10:17 - 1st),BAL 73.7%,283,73.7
10,9:56 - 1st) ,BAL 73.3%,304,73.3
11,9:55 - 1st) ,BAL 74.6%,305,74.6
12,9:44 - 1st) ,BAL 76.4%,316,76.4
13,9:11 - 1st) ,BAL 75.6%,349,75.6
14,8:31 - 1st) ,BAL 73.5%,389,73.5
15,8:27 - 1st) ,BAL 75.2%,393,75.2
16,7:50 - 1st) ,BAL 75.9%,430,75.9
17,7:16 - 1st) ,BAL 77.0%,464,77.0
18,7:10 - 1st) ,BAL 75.6%,470,75.6
19,7:01 - 1st) ,BAL 74.6%,479,74.6
20,6:12 - 1st) ,BAL 71.1%,528,71.1
21,6:08 - 1st) ,BAL 72.7%,532,72.7
22,6:01 - 1st) ,BAL 70.0%,539,70.0
23,5:21 - 1st) ,BAL 70.8%,579,70.8
24,4:56 - 1st) ,BAL 81.5%,604,81.5
25,4:55 - 1st) ,BAL 79.3%,605,79.3
26,4:08 - 1st) ,BAL 78.6%,652,78.6
27,3:23 - 1st) ,BAL 76.7%,697,76.7
28,3:16 - 1st) ,BAL 77.8%,704,77.8
29,3:11 - 1st) ,BAL 79.2%,709,79.2
30,3:06 - 1st) ,BAL 79.9%,714,79.9
31,2:00 - 1st) ,BAL 78.7%,780,78.7
32,1:53 - 1st) ,BAL 79.7%,787,79.7
33,1:12 - 1st) ,BAL 78.1%,828,78.1
34,0:25 - 1st) ,BAL 78.1%,875,78.1
35,15:00 - 2nd),BAL 75.5%,900,75.5
36,14:55 - 2nd),BAL 75.3%,905,75.3
37,14:45 - 2nd),BAL 73.6%,915,73.6
38,14:18 - 2nd),BAL 72.2%,942,72.2
39,13:36 - 2nd),BAL 73.7%,984,73.7
40,13:00 - 2nd),BAL 70.0%,1020,70.0
41,12:19 - 2nd),BAL 72.0%,1061,72.0
42,11:39 - 2nd),BAL 71.8%,1101,71.8
43,11:00 - 2nd),BAL 72.8%,1140,72.8
44,10:54 - 2nd),NYJ 53.3%,1146,46.7
45,10:51 - 2nd),BAL 77.6%,1149,77.6
46,10:17 - 2nd),BAL 80.2%,1183,80.2
47,9:42 - 2nd) ,BAL 78.2%,1218,78.2
48,8:59 - 2nd) ,BAL 76.9%,1261,76.9
49,8:15 - 2nd) ,BAL 74.8%,1305,74.8
50,8:07 - 2nd) ,BAL 75.5%,1313,75.5
51,8:01 - 2nd) ,BAL 75.1%,1319,75.1
52,6:53 - 2nd) ,BAL 72.5%,1387,72.5
53,6:17 - 2nd) ,BAL 74.7%,1423,74.7
54,5:31 - 2nd) ,BAL 75.6%,1469,75.6
55,4:55 - 2nd) ,BAL 77.0%,1505,77.0
56,4:49 - 2nd) ,BAL 77.5%,1511,77.5
57,4:41 - 2nd) ,BAL 81.5%,1519,81.5
58,4:29 - 2nd) ,BAL 81.1%,1531,81.1
59,3:45 - 2nd) ,BAL 86.8%,1575,86.8
60,3:40 - 2nd) ,BAL 86.6%,1580,86.6
61,3:14 - 2nd) ,BAL 84.3%,1606,84.3
62,2:34 - 2nd) ,BAL 84.7%,1646,84.7
63,2:00 - 2nd) ,BAL 82.2%,1680,82.2
64,1:26 - 2nd) ,BAL 82.7%,1714,82.7
65,1:20 - 2nd) ,BAL 83.3%,1720,83.3
66,1:15 - 2nd) ,BAL 84.3%,1725,84.3
67,0:24 - 2nd) ,BAL 83.0%,1776,83.0
68,0:23 - 2nd) ,BAL 82.6%,1777,82.6
69,15:00 - 3rd),BAL 85.4%,1800,85.4
70,14:59 - 3rd),BAL 83.9%,1801,83.9
71,14:21 - 3rd),BAL 80.4%,1839,80.4
