,raw_time,raw_win_pct,clean_time,CIN_win_pct
0,14:26 - 1st),CIN 76.0%,34,76.0
1,13:47 - 1st),CIN 79.6%,73,79.6
2,13:13 - 1st),CIN 81.1%,107,81.1
3,12:37 - 1st),CIN 78.9%,143,78.9
4,11:59 - 1st),CIN 78.4%,181,78.4
5,11:20 - 1st),CIN 84.0%,220,84.0
6,10:35 - 1st),CIN 82.2%,265,82.2
7,10:31 - 1st),CIN 80.4%,269,80.4
8,9:49 - 1st) ,CIN 80.0%,311,80.0
9,9:35 - 1st) ,CIN 84.1%,325,84.1
10,9:29 - 1st) ,CIN 85.0%,331,85.0
11,8:56 - 1st) ,CIN 83.2%,364,83.2
12,8:16 - 1st) ,CIN 83.8%,404,83.8
13,7:44 - 1st) ,CIN 84.5%,436,84.5
14,7:06 - 1st) ,CIN 80.2%,474,80.2
15,6:31 - 1st) ,CIN 81.0%,509,81.0
16,5:50 - 1st) ,CIN 81.8%,550,81.8
17,5:11 - 1st) ,CIN 82.8%,589,82.8
18,5:04 - 1st) ,CIN 80.8%,596,80.8
19,5:03 - 1st) ,CIN 79.8%,597,79.8
20,4:31 - 1st) ,CIN 81.7%,629,81.7
21,3:54 - 1st) ,CIN 74.6%,666,74.6
22,3:45 - 1st) ,CIN 72.0%,675,72.0
23,3:09 - 1st) ,CIN 73.1%,711,73.1
24,2:36 - 1st) ,CIN 73.8%,744,73.8
25,1:58 - 1st) ,CIN 75.2%,782,75.2
26,1:49 - 1st) ,CIN 72.4%,791,72.4
27,1:04 - 1st) ,CIN 71.6%,836,71.6
28,0:50 - 1st) ,CIN 74.6%,850,74.6
29,0:13 - 1st) ,CIN 72.6%,887,72.6
30,0:05 - 1st) ,CIN 73.0%,895,73.0
31,15:00 - 2nd),CIN 85.1%,900,85.1
32,14:56 - 2nd),CIN 86.0%,904,86.0
33,14:30 - 2nd),CIN 86.1%,930,86.1
34,13:50 - 2nd),CIN 82.7%,970,82.7
35,13:13 - 2nd),CIN 83.9%,1007,83.9
36,12:37 - 2nd),CIN 81.4%,1043,81.4
37,11:56 - 2nd),CIN 84.1%,1084,84.1
38,11:36 - 2nd),CIN 83.4%,1104,83.4
39,10:54 - 2nd),CIN 85.0%,1146,85.0
40,10:24 - 2nd),CIN 84.9%,1176,84.9
41,10:13 - 2nd),CIN 89.9%,1187,89.9
42,9:54 - 2nd) ,CIN 89.3%,1206,89.3
43,9:19 - 2nd) ,CIN 91.2%,1241,91.2
44,8:41 - 2nd) ,CIN 89.4%,1279,89.4
45,8:35 - 2nd) ,CIN 89.5%,1285,89.5
46,7:57 - 2nd) ,CIN 87.3%,1323,87.3
47,7:48 - 2nd) ,CIN 87.5%,1332,87.5
48,7:47 - 2nd) ,CIN 86.5%,1333,86.5
49,7:26 - 2nd) ,CIN 87.5%,1354,87.5
50,6:48 - 2nd) ,CIN 88.2%,1392,88.2
51,6:43 - 2nd) ,CIN 92.4%,1397,92.4
52,6:26 - 2nd) ,CIN 92.3%,1414,92.3
53,6:16 - 2nd) ,CIN 90.7%,1424,90.7
54,6:15 - 2nd) ,CIN 90.5%,1425,90.5
55,5:28 - 2nd) ,CIN 92.1%,1472,92.1
56,5:22 - 2nd) ,CIN 92.5%,1478,92.5
57,4:47 - 2nd) ,CIN 93.1%,1513,93.1
58,4:43 - 2nd) ,CIN 93.1%,1517,93.1
59,4:31 - 2nd) ,CIN 92.5%,1529,92.5
60,3:56 - 2nd) ,CIN 92.0%,1564,92.0
61,3:13 - 2nd) ,CIN 91.3%,1607,91.3
62,3:07 - 2nd) ,CIN 92.1%,1613,92.1
63,3:00 - 2nd) ,CIN 92.3%,1620,92.3
64,2:35 - 2nd) ,CIN 92.9%,1645,92.9
65,2:10 - 2nd) ,CIN 92.6%,1670,92.6
66,1:59 - 2nd) ,CIN 91.3%,1681,91.3
67,1:42 - 2nd) ,CIN 91.8%,1698,91.8
68,1:39 - 2nd) ,CIN 90.8%,1701,90.8
69,1:03 - 2nd) ,CIN 92.7%,1737,92.7
70,0:52 - 2nd) ,CIN 90.4%,1748,90.4
71,0:43 - 2nd) ,CIN 89.5%,1757,89.5
72,0:39 - 2nd) ,CIN 91.3%,1761,91.3
73,0:26 - 2nd) ,CIN 90.0%,1774,90.0
74,0:19 - 2nd) ,CIN 89.9%,1781,89.9
75,0:07 - 2nd) ,CIN 90.4%,1793,90.4
76,15:00 - 3rd),CIN 89.0%,1800,89.0
77,14:55 - 3rd),CIN 90.0%,1805,90.0
78,14:16 - 3rd),CIN 91.4%,1844,91.4
79,14:03 - 3rd),CIN 94.7%,1857,94.7
80,12:02 - 3rd),CIN 96.4%,1978,96.4
81,12:00 - 3rd),CIN 96.0%,1980,96.0
82,11:43 - 3rd),CIN 95.3%,1997,95.3
83,11:08 - 3rd),CIN 96.0%,2032,96.0
84,11:02 - 3rd),CIN 96.3%,2038,96.3
85,10:27 - 3rd),CIN 97.0%,2073,97.0
86,10:23 - 3rd),CIN 97.7%,2077,97.7
87,10:16 - 3rd),CIN 97.5%,2084,97.5
88,9:40 - 3rd) ,CIN 98.0%,2120,98.0
89,9:02 - 3rd) ,CIN 98.2%,2158,98.2
90,8:27 - 3rd) ,CIN 98.5%,2193,98.5
91,7:41 - 3rd) ,CIN 98.5%,2239,98.5
92,6:55 - 3rd) ,CIN 98.7%,2285,98.7
93,6:24 - 3rd) ,CIN 98.8%,2316,98.8
94,5:46 - 3rd) ,CIN 98.6%,2354,98.6
95,5:38 - 3rd) ,CIN 99.0%,2362,99.0
96,4:58 - 3rd) ,CIN 98.7%,2402,98.7
97,4:22 - 3rd) ,CIN 98.9%,2438,98.9
98,4:12 - 3rd) ,CIN 97.9%,2448,97.9
99,3:32 - 3rd) ,CIN 97.9%,2488,97.9
100,3:28 - 3rd) ,CIN 97.3%,2492,97.3
101,3:00 - 3rd) ,CIN 97.7%,2520,97.7
102,2:29 - 3rd) ,CIN 96.3%,2551,96.3
103,1:58 - 3rd) ,CIN 96.8%,2582,96.8
104,1:35 - 3rd) ,CIN 96.5%,2605,96.5
105,0:57 - 3rd) ,CIN 96.9%,2643,96.9
106,0:51 - 3rd) ,CIN 97.4%,2649,97.4
107,0:41 - 3rd) ,CIN 96.5%,2659,96.5
108,0:00 - 3rd) ,CIN 96.8%,2700,96.8
109,14:58 - 4th),CIN 96.2%,2702,96.2
110,14:16 - 4th),CIN 95.7%,2744,95.7
111,14:10 - 4th),CIN 95.8%,2750,95.8
112,14:00 - 4th),CIN 95.3%,2760,95.3
113,13:38 - 4th),CIN 96.5%,2782,96.5
114,13:00 - 4th),CIN 95.6%,2820,95.6
115,12:35 - 4th),CIN 95.8%,2845,95.8
116,12:08 - 4th),CIN 94.1%,2872,94.1
117,11:40 - 4th),CIN 94.3%,2900,94.3
118,11:35 - 4th),CIN 93.0%,2905,93.0
119,11:13 - 4th),CIN 93.0%,2927,93.0
120,10:37 - 4th),CIN 96.0%,2963,96.0
121,10:30 - 4th),CIN 95.4%,2970,95.4
122,10:09 - 4th),CIN 98.5%,2991,98.5
123,10:03 - 4th),CIN 98.2%,2997,98.2
124,9:18 - 4th) ,CIN 98.9%,3042,98.9
125,8:31 - 4th) ,CIN 99.1%,3089,99.1
126,7:43 - 4th) ,CIN 99.5%,3137,99.5
127,6:58 - 4th) ,CIN 99.7%,3182,99.7
128,6:15 - 4th) ,CIN 99.5%,3225,99.5
129,5:31 - 4th) ,CIN 99.9%,3269,99.9
130,4:47 - 4th) ,CIN 99.9%,3313,99.9
131,4:02 - 4th) ,CIN 99.9%,3358,99.9
132,3:15 - 4th) ,CIN 99.9%,3405,99.9
133,3:11 - 4th) ,CIN 99.9%,3409,99.9
134,3:06 - 4th) ,CIN 99.9%,3414,99.9
135,2:15 - 4th) ,CIN 99.8%,3465,99.8
136,2:07 - 4th) ,CIN 99.9%,3473,99.9
137,2:00 - 4th) ,CIN 99.6%,3480,99.6
138,1:48 - 4th) ,CIN 99.8%,3492,99.8
139,1:27 - 4th) ,CIN 99.8%,3513,99.8
140,1:07 - 4th) ,CIN 99.9%,3533,99.9
141,1:01 - 4th) ,CIN 99.9%,3539,99.9
142,0:55 - 4th) ,CIN 99.9%,3545,99.9
143,0:27 - 4th) ,CIN 99.9%,3573,99.9
144,0:00 - 4th) ,CIN 100%,3600,100.0
