,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:21 - 1st),NE 50.1%,39,50.1
1,13:45 - 1st),NE 52.1%,75,52.1
2,13:27 - 1st),NE 51.8%,93,51.8
3,13:21 - 1st),PIT 51.4%,99,48.6
4,12:42 - 1st),NE 52.3%,138,52.3
5,12:04 - 1st),NE 50.8%,176,50.8
6,11:29 - 1st),NE 52.4%,211,52.4
7,10:45 - 1st),NE 55.5%,255,55.5
8,10:12 - 1st),NE 58.3%,288,58.3
9,9:30 - 1st) ,NE 57.7%,330,57.7
10,8:57 - 1st) ,NE 61.2%,363,61.2
11,8:14 - 1st) ,NE 58.9%,406,58.9
12,7:34 - 1st) ,NE 57.5%,446,57.5
13,7:30 - 1st) ,NE 55.7%,450,55.7
14,6:42 - 1st) ,NE 58.0%,498,58.0
15,6:05 - 1st) ,NE 56.8%,535,56.8
16,5:20 - 1st) ,NE 54.9%,580,54.9
17,5:09 - 1st) ,NE 52.6%,591,52.6
18,4:29 - 1st) ,NE 53.2%,631,53.2
19,3:50 - 1st) ,NE 51.1%,670,51.1
20,3:14 - 1st) ,NE 56.2%,706,56.2
21,2:25 - 1st) ,NE 52.0%,755,52.0
22,1:38 - 1st) ,NE 60.3%,802,60.3
23,1:32 - 1st) ,NE 62.9%,808,62.9
24,0:42 - 1st) ,NE 56.9%,858,56.9
25,0:07 - 1st) ,NE 58.0%,893,58.0
26,15:00 - 2nd),NE 53.4%,900,53.4
27,14:24 - 2nd),NE 57.9%,936,57.9
28,13:43 - 2nd),NE 53.7%,977,53.7
29,13:40 - 2nd),NE 51.7%,980,51.7
30,13:06 - 2nd),NE 55.7%,1014,55.7
31,12:22 - 2nd),NE 58.6%,1058,58.6
32,12:19 - 2nd),NE 52.6%,1061,52.6
33,12:13 - 2nd),NE 51.0%,1067,51.0
34,11:29 - 2nd),NE 51.9%,1111,51.9
35,11:07 - 2nd),PIT 52.3%,1133,47.7
36,10:23 - 2nd),PIT 50.9%,1177,49.1
37,10:01 - 2nd),NE 51.2%,1199,51.2
38,9:57 - 2nd) ,NE 50.9%,1203,50.9
39,9:17 - 2nd) ,NE 53.7%,1243,53.7
40,8:35 - 2nd) ,NE 54.1%,1285,54.1
41,8:29 - 2nd) ,NE 51.2%,1291,51.2
42,7:50 - 2nd) ,PIT 50.0%,1330,50.0
43,7:46 - 2nd) ,NE 50.9%,1334,50.9
44,7:15 - 2nd) ,PIT 50.5%,1365,49.5
45,6:25 - 2nd) ,NE 50.2%,1415,50.2
46,5:51 - 2nd) ,NE 51.6%,1449,51.6
47,5:10 - 2nd) ,PIT 52.4%,1490,47.6
48,4:50 - 2nd) ,PIT 50.5%,1510,49.5
49,4:20 - 2nd) ,NE 50.3%,1540,50.3
50,3:59 - 2nd) ,NE 50.8%,1561,50.8
51,3:23 - 2nd) ,NE 53.2%,1597,53.2
52,3:08 - 2nd) ,NE 54.1%,1612,54.1
53,3:05 - 2nd) ,NE 54.1%,1615,54.1
54,2:16 - 2nd) ,NE 54.9%,1664,54.9
55,2:00 - 2nd) ,NE 55.9%,1680,55.9
56,1:21 - 2nd) ,NE 56.6%,1719,56.6
57,0:55 - 2nd) ,NE 53.8%,1745,53.8
58,0:51 - 2nd) ,NE 52.9%,1749,52.9
59,0:22 - 2nd) ,NE 72.2%,1778,72.2
60,0:17 - 2nd) ,NE 72.3%,1783,72.3
61,0:13 - 2nd) ,NE 73.1%,1787,73.1
62,15:00 - 3rd),NE 73.9%,1800,73.9
63,14:31 - 3rd),NE 76.1%,1829,76.1
64,13:48 - 3rd),NE 74.7%,1872,74.7
65,13:08 - 3rd),NE 78.3%,1912,78.3
66,12:23 - 3rd),NE 77.1%,1957,77.1
67,11:43 - 3rd),NE 74.4%,1997,74.4
68,11:39 - 3rd),NE 79.7%,2001,79.7
69,11:09 - 3rd),NE 78.1%,2031,78.1
70,10:29 - 3rd),NE 76.6%,2071,76.6
71,10:04 - 3rd),NE 76.4%,2096,76.4
72,9:26 - 3rd) ,NE 75.8%,2134,75.8
73,9:17 - 3rd) ,NE 65.1%,2143,65.1
74,0:00 - 4th) ,NE 100%,3600,100.0
