,raw_time,raw_win_pct,clean_time,NYJ_win_pct
0,7:06 - 2nd) ,NYJ 61.0%,1374,61.0
1,7:00 - 2nd) ,NYJ 61.9%,1380,61.9
2,6:22 - 2nd) ,NYJ 64.5%,1418,64.5
3,5:36 - 2nd) ,NYJ 66.7%,1464,66.7
4,5:22 - 2nd) ,NYJ 61.3%,1478,61.3
5,5:15 - 2nd) ,NYJ 67.9%,1485,67.9
6,4:45 - 2nd) ,NYJ 65.2%,1515,65.2
7,4:04 - 2nd) ,NYJ 65.1%,1556,65.1
8,3:58 - 2nd) ,NYJ 63.4%,1562,63.4
9,3:43 - 2nd) ,NYJ 65.0%,1577,65.0
10,3:14 - 2nd) ,NYJ 66.4%,1606,66.4
11,3:10 - 2nd) ,NYJ 69.7%,1610,69.7
12,2:32 - 2nd) ,NYJ 68.7%,1648,68.7
13,2:00 - 2nd) ,NYJ 70.3%,1680,70.3
14,1:56 - 2nd) ,NYJ 72.7%,1684,72.7
15,1:49 - 2nd) ,NYJ 70.2%,1691,70.2
16,1:40 - 2nd) ,NYJ 75.7%,1700,75.7
17,1:06 - 2nd) ,NYJ 73.9%,1734,73.9
18,0:40 - 2nd) ,NYJ 73.4%,1760,73.4
19,0:20 - 2nd) ,NYJ 66.9%,1780,66.9
20,0:09 - 2nd) ,NYJ 66.2%,1791,66.2
21,15:00 - 3rd),NYJ 57.6%,1800,57.6
22,14:22 - 3rd),NYJ 53.9%,1838,53.9
23,14:12 - 3rd),NYJ 51.9%,1848,51.9
24,13:53 - 3rd),NYJ 55.5%,1867,55.5
25,13:28 - 3rd),NYJ 56.3%,1892,56.3
26,13:05 - 3rd),NYJ 59.0%,1915,59.0
27,12:13 - 3rd),NYJ 53.0%,1967,53.0
28,11:32 - 3rd),TIE,2008,50.0
29,10:59 - 3rd),NYJ 59.8%,2041,59.8
30,10:22 - 3rd),NYJ 62.5%,2078,62.5
31,9:37 - 3rd) ,NYJ 61.5%,2123,61.5
32,8:53 - 3rd) ,NYJ 51.9%,2167,51.9
33,8:44 - 3rd) ,PIT 55.8%,2176,44.2
34,8:03 - 3rd) ,PIT 53.4%,2217,46.6
35,7:18 - 3rd) ,PIT 65.3%,2262,34.7
36,6:42 - 3rd) ,PIT 65.2%,2298,34.8
37,6:36 - 3rd) ,PIT 59.7%,2304,40.3
38,6:00 - 3rd) ,PIT 61.6%,2340,38.4
39,5:30 - 3rd) ,PIT 63.3%,2370,36.7
40,5:20 - 3rd) ,PIT 67.1%,2380,32.900000000000006
41,5:06 - 3rd) ,PIT 69.3%,2394,30.700000000000003
42,4:46 - 3rd) ,PIT 72.6%,2414,27.400000000000006
43,4:18 - 3rd) ,PIT 70.2%,2442,29.799999999999997
44,3:35 - 3rd) ,PIT 68.9%,2485,31.099999999999994
45,2:51 - 3rd) ,PIT 71.1%,2529,28.900000000000006
46,2:10 - 3rd) ,PIT 71.4%,2570,28.599999999999994
47,1:31 - 3rd) ,PIT 71.7%,2609,28.299999999999997
48,0:49 - 3rd) ,PIT 78.8%,2651,21.200000000000003
49,0:30 - 3rd) ,PIT 76.5%,2670,23.5
50,15:00 - 4th),PIT 77.4%,2700,22.599999999999994
51,14:25 - 4th),PIT 85.8%,2735,14.200000000000003
52,13:36 - 4th),PIT 89.6%,2784,10.400000000000006
53,13:30 - 4th),PIT 89.6%,2790,10.400000000000006
54,12:49 - 4th),PIT 90.8%,2831,9.200000000000003
55,12:05 - 4th),PIT 85.4%,2875,14.599999999999994
56,11:19 - 4th),PIT 86.0%,2921,14.0
57,11:14 - 4th),PIT 88.1%,2926,11.900000000000006
58,10:34 - 4th),PIT 92.2%,2966,7.799999999999997
59,9:48 - 4th) ,PIT 81.5%,3012,18.5
60,9:05 - 4th) ,PIT 75.9%,3055,24.099999999999994
61,8:27 - 4th) ,PIT 77.9%,3093,22.099999999999994
62,8:24 - 4th) ,PIT 80.3%,3096,19.700000000000003
63,8:16 - 4th) ,PIT 85.2%,3104,14.799999999999997
64,7:31 - 4th) ,PIT 70.6%,3149,29.400000000000006
65,6:53 - 4th) ,PIT 75.9%,3187,24.099999999999994
66,6:14 - 4th) ,PIT 72.9%,3226,27.099999999999994
67,5:38 - 4th) ,PIT 74.5%,3262,25.5
68,4:55 - 4th) ,PIT 83.5%,3305,16.5
69,4:23 - 4th) ,PIT 76.5%,3337,23.5
70,3:34 - 4th) ,PIT 62.8%,3386,37.2
71,2:57 - 4th) ,PIT 68.3%,3423,31.700000000000003
72,2:18 - 4th) ,PIT 64.3%,3462,35.7
73,2:00 - 4th) ,PIT 57.1%,3480,42.9
74,1:51 - 4th) ,PIT 62.4%,3489,37.6
75,1:44 - 4th) ,PIT 63.4%,3496,36.6
76,1:31 - 4th) ,NYJ 55.3%,3509,55.3
77,1:07 - 4th) ,NYJ 51.4%,3533,51.4
78,0:50 - 4th) ,NYJ 69.2%,3550,69.2
79,0:45 - 4th) ,NYJ 78.2%,3555,78.2
80,0:16 - 4th) ,NYJ 95.0%,3584,95.0
81,0:08 - 4th) ,NYJ 99.9%,3592,99.9
82,0:00 - 4th) ,NYJ 100%,3600,100.0
