,raw_time,raw_win_pct,clean_time,TB_win_pct
0,14:17 - 1st),TB 81.7%,43,1.7
1,14:14 - 1st),TB 79.2%,46,9.2
2,14:02 - 1st),TB 79.9%,58,9.9
3,13:28 - 1st),TB 77.6%,92,7.6
4,12:53 - 1st),TB 75.7%,127,5.7
5,12:31 - 1st),TB 77.9%,149,7.9
6,11:51 - 1st),TB 76.4%,189,6.4
7,11:14 - 1st),TB 72.0%,226,2.0
8,11:10 - 1st),TB 73.8%,230,3.8
9,10:30 - 1st),TB 74.3%,270,4.3
10,9:53 - 1st) ,TB 72.5%,307,2.5
11,9:35 - 1st) ,TB 75.1%,325,5.1
12,9:11 - 1st) ,TB 68.6%,349,8.6
13,8:29 - 1st) ,TB 70.9%,391,0.9
14,7:38 - 1st) ,TB 65.0%,442,5.0
15,7:32 - 1st) ,TB 66.6%,448,6.6
16,6:59 - 1st) ,TB 66.9%,481,6.9
17,6:55 - 1st) ,TB 69.0%,485,9.0
18,6:17 - 1st) ,TB 70.6%,523,0.6
19,5:42 - 1st) ,TB 68.4%,558,8.4
20,4:59 - 1st) ,TB 69.2%,601,9.2
21,4:21 - 1st) ,TB 67.8%,639,7.8
22,3:44 - 1st) ,TB 70.6%,676,0.6
23,3:04 - 1st) ,TB 68.0%,716,8.0
24,3:01 - 1st) ,TB 68.6%,719,8.6
25,2:50 - 1st) ,TB 66.7%,730,6.7
26,2:47 - 1st) ,TB 67.5%,733,7.5
27,2:05 - 1st) ,TB 70.2%,775,0.2
28,2:01 - 1st) ,TB 72.4%,779,2.4
29,1:35 - 1st) ,TB 70.7%,805,0.7
30,1:25 - 1st) ,TB 68.6%,815,8.6
31,1:19 - 1st) ,TB 72.7%,821,2.7
32,0:44 - 1st) ,TB 71.9%,856,1.9
33,0:14 - 1st) ,TB 73.8%,886,3.8
34,15:00 - 2nd),TB 75.5%,900,5.5
35,14:24 - 2nd),TB 73.0%,936,3.0
36,13:45 - 2nd),TB 77.4%,975,7.4
37,13:04 - 2nd),TB 73.4%,1016,3.4
38,12:28 - 2nd),TB 71.4%,1052,1.4
39,11:48 - 2nd),TB 68.6%,1092,8.6
40,11:01 - 2nd),TB 69.2%,1139,9.2
41,10:58 - 2nd),TB 70.1%,1142,0.1
42,10:19 - 2nd),TB 66.4%,1181,6.4
43,9:53 - 2nd) ,TB 66.1%,1207,6.1
44,9:18 - 2nd) ,TB 66.4%,1242,6.4
45,8:42 - 2nd) ,TB 63.6%,1278,3.6
46,8:05 - 2nd) ,TB 65.2%,1315,5.2
47,7:20 - 2nd) ,TB 67.8%,1360,7.8
48,6:39 - 2nd) ,TB 64.6%,1401,4.6
49,6:03 - 2nd) ,TB 64.5%,1437,4.5
50,5:37 - 2nd) ,TB 64.1%,1463,4.1
51,5:34 - 2nd) ,TB 65.1%,1466,5.1
52,4:56 - 2nd) ,TB 66.8%,1504,6.8
53,4:12 - 2nd) ,TB 66.7%,1548,6.7
54,4:06 - 2nd) ,TB 57.5%,1554,7.5
55,3:37 - 2nd) ,TB 55.3%,1583,5.3
56,2:55 - 2nd) ,TB 52.2%,1625,2.2
57,2:42 - 2nd) ,TB 54.4%,1638,4.4
58,2:24 - 2nd) ,TB 56.1%,1656,6.1
59,2:17 - 2nd) ,TB 58.1%,1663,8.1
60,2:02 - 2nd) ,TB 58.1%,1678,8.1
61,1:58 - 2nd) ,TB 57.5%,1682,7.5
62,1:41 - 2nd) ,TB 53.5%,1699,3.5
63,1:21 - 2nd) ,TB 53.1%,1719,3.1
64,0:59 - 2nd) ,TB 50.3%,1741,0.3
65,0:46 - 2nd) ,TB 55.5%,1754,5.5
66,0:36 - 2nd) ,TB 56.8%,1764,6.8
67,0:23 - 2nd) ,TB 59.3%,1777,9.3
68,0:10 - 2nd) ,TB 55.5%,1790,5.5
69,15:00 - 3rd),PIT 53.7%,1800,46.3
70,14:48 - 3rd),TB 53.7%,1812,3.7
71,14:07 - 3rd),TB 55.5%,1853,5.5
72,13:55 - 3rd),TB 56.6%,1865,6.6
73,13:19 - 3rd),TB 55.1%,1901,5.1
74,12:45 - 3rd),TB 59.1%,1935,9.1
75,12:12 - 3rd),TB 60.1%,1968,0.1
76,11:33 - 3rd),TB 63.8%,2007,3.8
77,10:59 - 3rd),TB 64.5%,2041,4.5
78,10:44 - 3rd),TB 63.6%,2056,3.6
79,10:04 - 3rd),TB 61.6%,2096,1.6
80,10:00 - 3rd),TB 66.3%,2100,6.3
81,9:36 - 3rd) ,TB 61.8%,2124,1.8
82,9:10 - 3rd) ,TB 67.5%,2150,7.5
83,8:29 - 3rd) ,TB 69.0%,2191,9.0
84,8:24 - 3rd) ,TB 67.0%,2196,7.0
85,8:17 - 3rd) ,TB 62.6%,2203,2.6
86,7:37 - 3rd) ,TB 63.0%,2243,3.0
87,7:31 - 3rd) ,TB 58.4%,2249,8.4
88,7:24 - 3rd) ,TB 63.2%,2256,3.2
89,7:02 - 3rd) ,TB 62.2%,2278,2.2
90,6:55 - 3rd) ,TB 62.4%,2285,2.4
91,6:16 - 3rd) ,TB 55.4%,2324,5.4
92,5:35 - 3rd) ,TB 55.4%,2365,5.4
93,4:54 - 3rd) ,TB 57.6%,2406,7.6
94,4:29 - 3rd) ,TB 60.2%,2431,0.2
95,4:14 - 3rd) ,TB 56.7%,2446,6.7
96,3:59 - 3rd) ,TB 53.7%,2461,3.7
97,3:22 - 3rd) ,TB 54.9%,2498,4.9
98,2:58 - 3rd) ,TB 52.2%,2522,2.2
99,2:19 - 3rd) ,PIT 51.1%,2561,48.9
100,2:07 - 3rd) ,TB 51.8%,2573,1.8
101,1:24 - 3rd) ,TB 51.4%,2616,1.4
102,0:42 - 3rd) ,TB 55.8%,2658,5.8
103,0:30 - 3rd) ,TB 55.1%,2670,5.1
104,15:00 - 4th),TB 53.3%,2700,3.3
105,14:27 - 4th),TB 50.7%,2733,0.7
106,13:38 - 4th),TB 54.4%,2782,4.4
107,12:57 - 4th),TB 53.6%,2823,3.6
108,12:14 - 4th),PIT 53.5%,2866,46.5
109,11:41 - 4th),PIT 52.0%,2899,48.0
110,11:19 - 4th),PIT 52.3%,2921,47.7
111,10:58 - 4th),PIT 69.5%,2942,30.5
112,10:40 - 4th),PIT 66.5%,2960,33.5
113,9:55 - 4th) ,PIT 78.7%,3005,21.299999999999997
114,9:48 - 4th) ,PIT 81.3%,3012,18.700000000000003
115,9:23 - 4th) ,PIT 76.7%,3037,23.299999999999997
116,8:53 - 4th) ,PIT 80.3%,3067,19.700000000000003
117,8:35 - 4th) ,PIT 77.0%,3085,23.0
118,8:10 - 4th) ,PIT 73.4%,3110,26.599999999999994
119,7:52 - 4th) ,PIT 74.1%,3128,25.900000000000006
120,7:38 - 4th) ,PIT 76.1%,3142,23.900000000000006
121,7:07 - 4th) ,PIT 79.7%,3173,20.299999999999997
122,6:25 - 4th) ,PIT 71.4%,3215,28.599999999999994
123,5:59 - 4th) ,PIT 75.5%,3241,24.5
124,5:40 - 4th) ,PIT 78.1%,3260,21.900000000000006
125,5:34 - 4th) ,PIT 79.6%,3266,20.400000000000006
126,5:10 - 4th) ,PIT 68.4%,3290,31.599999999999994
127,4:38 - 4th) ,PIT 62.1%,3322,37.9
128,3:51 - 4th) ,PIT 56.3%,3369,43.7
129,3:07 - 4th) ,PIT 73.2%,3413,26.799999999999997
130,2:26 - 4th) ,PIT 69.1%,3454,30.900000000000006
131,2:15 - 4th) ,PIT 92.3%,3465,7.700000000000003
132,2:07 - 4th) ,PIT 97.0%,3473,3.0
133,2:00 - 4th) ,PIT 97.6%,3480,2.4000000000000057
134,1:19 - 4th) ,PIT 93.9%,3521,6.099999999999994
135,0:37 - 4th) ,PIT 93.9%,3563,6.099999999999994
136,0:00 - 4th) ,PIT 100%,3600,0.0
