,raw_time,raw_win_pct,clean_time,ATL_win_pct
0,14:26 - 1st),ATL 50.3%,34,50.3
1,13:56 - 1st),SEA 51.1%,64,48.9
2,13:24 - 1st),SEA 53.5%,96,46.5
3,12:46 - 1st),SEA 51.9%,134,48.1
4,12:13 - 1st),SEA 50.2%,167,49.8
5,11:33 - 1st),SEA 56.4%,207,43.6
6,11:28 - 1st),SEA 54.9%,212,45.1
7,11:08 - 1st),SEA 56.2%,232,43.8
8,10:27 - 1st),SEA 51.3%,273,48.7
9,10:19 - 1st),SEA 53.7%,281,46.3
10,10:13 - 1st),SEA 52.3%,287,47.7
11,9:30 - 1st) ,ATL 50.8%,330,50.8
12,8:49 - 1st) ,ATL 52.1%,371,52.1
13,8:23 - 1st) ,ATL 56.0%,397,56.0
14,7:40 - 1st) ,ATL 61.6%,440,61.6
15,7:20 - 1st) ,ATL 62.3%,460,62.3
16,7:10 - 1st) ,ATL 62.5%,470,62.5
17,7:03 - 1st) ,ATL 60.8%,477,60.8
18,6:32 - 1st) ,ATL 62.1%,508,62.1
19,8:38 - 3rd) ,SEA 51.7%,2182,48.3
20,6:32 - 1st) ,ATL 62.1%,508,62.1
21,6:00 - 1st) ,ATL 63.0%,540,63.0
22,5:32 - 1st) ,ATL 52.6%,568,52.6
23,4:53 - 1st) ,ATL 56.0%,607,56.0
24,4:12 - 1st) ,SEA 53.5%,648,46.5
25,3:31 - 1st) ,SEA 50.4%,689,49.6
26,2:50 - 1st) ,ATL 53.0%,730,53.0
27,2:02 - 1st) ,ATL 51.7%,778,51.7
28,1:55 - 1st) ,ATL 59.1%,785,59.1
29,1:09 - 1st) ,ATL 54.1%,831,54.1
30,0:31 - 1st) ,ATL 52.0%,869,52.0
31,0:23 - 1st) ,ATL 50.5%,877,50.5
32,0:19 - 1st) ,ATL 50.3%,881,50.3
33,0:07 - 1st) ,ATL 50.7%,893,50.7
34,15:00 - 2nd),ATL 50.2%,900,50.2
35,14:38 - 2nd),ATL 53.5%,922,53.5
36,13:54 - 2nd),ATL 55.7%,966,55.7
37,13:50 - 2nd),ATL 53.7%,970,53.7
38,13:43 - 2nd),ATL 51.6%,977,51.6
39,13:00 - 2nd),ATL 58.1%,1020,58.1
40,12:19 - 2nd),ATL 53.9%,1061,53.9
41,11:41 - 2nd),ATL 53.4%,1099,53.4
42,11:00 - 2nd),ATL 60.6%,1140,60.6
43,10:26 - 2nd),ATL 60.4%,1174,60.4
44,9:41 - 2nd) ,ATL 56.7%,1219,56.7
45,9:01 - 2nd) ,ATL 65.5%,1259,65.5
46,8:12 - 2nd) ,ATL 72.2%,1308,72.2
47,7:31 - 2nd) ,ATL 73.8%,1349,73.8
48,7:26 - 2nd) ,ATL 70.6%,1354,70.6
49,6:56 - 2nd) ,ATL 68.3%,1384,68.3
50,6:27 - 2nd) ,ATL 70.1%,1413,70.1
51,5:49 - 2nd) ,ATL 67.6%,1451,67.6
52,5:20 - 2nd) ,ATL 73.6%,1480,73.6
53,4:39 - 2nd) ,ATL 62.2%,1521,62.2
54,3:58 - 2nd) ,ATL 54.2%,1562,54.2
55,3:23 - 2nd) ,ATL 53.6%,1597,53.6
56,3:18 - 2nd) ,ATL 50.2%,1602,50.2
57,3:12 - 2nd) ,ATL 52.2%,1608,52.2
58,3:03 - 2nd) ,ATL 52.0%,1617,52.0
