,raw_time,raw_win_pct,clean_time,LAR_win_pct
0,14:30 - 1st),LAR 63.1%,30,63.1
1,13:58 - 1st),LAR 62.3%,62,62.3
2,13:36 - 1st),LAR 60.8%,84,60.8
3,13:06 - 1st),LAR 65.3%,114,65.3
4,12:22 - 1st),LAR 61.6%,158,61.6
5,11:54 - 1st),LAR 67.4%,186,67.4
6,11:17 - 1st),LAR 66.0%,223,66.0
7,10:29 - 1st),LAR 65.2%,271,65.2
8,10:05 - 1st),LAR 69.2%,295,69.2
9,9:20 - 1st) ,LAR 68.1%,340,68.1
10,9:01 - 1st) ,LAR 66.9%,359,66.9
11,8:20 - 1st) ,LAR 64.2%,400,64.2
12,7:36 - 1st) ,LAR 63.2%,444,63.2
13,6:48 - 1st) ,LAR 62.3%,492,62.3
14,6:12 - 1st) ,LAR 64.2%,528,64.2
15,5:37 - 1st) ,LAR 65.3%,563,65.3
16,5:35 - 1st) ,LAR 60.6%,565,60.6
17,4:57 - 1st) ,LAR 63.1%,603,63.1
18,4:14 - 1st) ,LAR 63.7%,646,63.7
19,3:38 - 1st) ,LAR 57.6%,682,57.6
20,2:46 - 1st) ,SF 53.1%,734,46.9
21,2:21 - 1st) ,SF 57.7%,759,42.3
22,1:38 - 1st) ,SF 55.5%,802,44.5
23,1:27 - 1st) ,SF 57.7%,813,42.3
24,0:46 - 1st) ,SF 56.1%,854,43.9
25,15:00 - 2nd),SF 59.9%,900,40.1
26,14:14 - 2nd),SF 58.6%,946,41.4
27,13:35 - 2nd),SF 56.7%,985,43.3
28,12:54 - 2nd),SF 54.3%,1026,45.7
29,12:48 - 2nd),SF 54.1%,1032,45.9
30,12:36 - 2nd),SF 57.2%,1044,42.8
31,12:05 - 2nd),SF 59.2%,1075,40.8
32,11:56 - 2nd),SF 56.3%,1084,43.7
33,11:51 - 2nd),SF 54.3%,1089,45.7
34,11:41 - 2nd),SF 51.3%,1099,48.7
35,11:30 - 2nd),SF 53.3%,1110,46.7
36,10:53 - 2nd),SF 50.1%,1147,49.9
37,9:57 - 2nd) ,SF 51.9%,1203,48.1
38,9:17 - 2nd) ,LAR 51.8%,1243,51.8
39,8:32 - 2nd) ,LAR 55.4%,1288,55.4
40,7:56 - 2nd) ,LAR 58.4%,1324,58.4
41,7:17 - 2nd) ,LAR 53.9%,1363,53.9
42,6:34 - 2nd) ,LAR 52.4%,1406,52.4
43,6:30 - 2nd) ,LAR 50.0%,1410,50.0
44,6:22 - 2nd) ,SF 50.1%,1418,49.9
45,5:45 - 2nd) ,LAR 50.9%,1455,50.9
46,5:06 - 2nd) ,SF 51.4%,1494,48.6
47,4:25 - 2nd) ,SF 52.8%,1535,47.2
48,3:44 - 2nd) ,LAR 51.0%,1576,51.0
49,2:46 - 2nd) ,SF 69.2%,1634,30.799999999999997
50,2:39 - 2nd) ,SF 69.5%,1641,30.5
51,2:35 - 2nd) ,SF 71.3%,1645,28.700000000000003
52,2:00 - 2nd) ,SF 67.8%,1680,32.2
53,1:39 - 2nd) ,SF 71.0%,1701,29.0
54,1:17 - 2nd) ,SF 73.1%,1723,26.900000000000006
