,raw_time,raw_win_pct,clean_time,SEA_win_pct
0,14:27 - 1st),SF 75.5%,33,24.5
1,13:49 - 1st),SF 78.1%,71,21.900000000000006
2,13:13 - 1st),SF 76.9%,107,23.099999999999994
3,12:40 - 1st),SF 75.8%,140,24.200000000000003
4,12:36 - 1st),SF 79.1%,144,20.900000000000006
5,11:59 - 1st),SF 82.0%,181,18.0
6,11:13 - 1st),SF 78.8%,227,21.200000000000003
7,10:33 - 1st),SF 78.9%,267,21.099999999999994
8,9:58 - 1st) ,SF 75.9%,302,24.099999999999994
9,9:16 - 1st) ,SF 76.3%,344,23.700000000000003
10,9:08 - 1st) ,SF 77.3%,352,22.700000000000003
11,8:37 - 1st) ,SF 77.6%,383,22.400000000000006
12,8:01 - 1st) ,SF 74.3%,419,25.700000000000003
13,7:26 - 1st) ,SF 75.6%,454,24.400000000000006
14,6:45 - 1st) ,SF 76.0%,495,24.0
15,6:04 - 1st) ,SF 77.4%,536,22.599999999999994
16,6:01 - 1st) ,SF 76.3%,539,23.700000000000003
17,5:53 - 1st) ,SF 76.3%,547,23.700000000000003
18,5:14 - 1st) ,SF 77.3%,586,22.700000000000003
19,4:50 - 1st) ,SF 76.7%,610,23.299999999999997
20,4:09 - 1st) ,SF 82.5%,651,17.5
21,3:20 - 1st) ,SF 82.2%,700,17.799999999999997
22,2:33 - 1st) ,SF 81.2%,747,18.799999999999997
23,2:12 - 1st) ,SF 79.1%,768,20.900000000000006
24,1:26 - 1st) ,SF 80.4%,814,19.599999999999994
25,0:58 - 1st) ,SF 77.9%,842,22.099999999999994
26,0:32 - 1st) ,SF 79.7%,868,20.299999999999997
27,15:00 - 2nd),SF 80.7%,900,19.299999999999997
28,14:29 - 2nd),SF 81.3%,931,18.700000000000003
29,13:46 - 2nd),SF 81.1%,974,18.900000000000006
30,13:35 - 2nd),SF 82.5%,985,17.5
31,13:30 - 2nd),SF 80.8%,990,19.200000000000003
32,12:48 - 2nd),SF 80.7%,1032,19.299999999999997
33,12:06 - 2nd),SF 84.4%,1074,15.599999999999994
34,11:19 - 2nd),SF 88.6%,1121,11.400000000000006
35,10:43 - 2nd),SF 89.5%,1157,10.5
36,10:02 - 2nd),SF 92.3%,1198,7.700000000000003
37,9:53 - 2nd) ,SF 92.2%,1207,7.799999999999997
38,9:19 - 2nd) ,SF 90.8%,1241,9.200000000000003
39,8:38 - 2nd) ,SF 91.6%,1282,8.400000000000006
40,7:55 - 2nd) ,SF 90.5%,1325,9.5
41,7:49 - 2nd) ,SF 88.8%,1331,11.200000000000003
42,7:42 - 2nd) ,SF 90.1%,1338,9.900000000000006
43,7:03 - 2nd) ,SF 90.1%,1377,9.900000000000006
44,6:27 - 2nd) ,SF 90.8%,1413,9.200000000000003
45,6:21 - 2nd) ,SF 87.5%,1419,12.5
46,6:08 - 2nd) ,SF 86.4%,1432,13.599999999999994
47,5:47 - 2nd) ,SF 83.2%,1453,16.799999999999997
48,4:19 - 2nd) ,SF 90.0%,1541,10.0
49,4:12 - 2nd) ,SF 90.7%,1548,9.299999999999997
50,3:37 - 2nd) ,SF 91.2%,1583,8.799999999999997
51,2:55 - 2nd) ,SF 90.5%,1625,9.5
52,2:13 - 2nd) ,SF 88.7%,1667,11.299999999999997
53,2:00 - 2nd) ,SF 93.8%,1680,6.200000000000003
54,1:47 - 2nd) ,SF 93.2%,1693,6.799999999999997
55,1:37 - 2nd) ,SF 95.1%,1703,4.900000000000006
56,1:29 - 2nd) ,SF 90.2%,1711,9.799999999999997
57,1:20 - 2nd) ,SF 96.5%,1720,3.5
58,0:47 - 2nd) ,SF 96.2%,1753,3.799999999999997
59,0:22 - 2nd) ,SF 96.7%,1778,3.299999999999997
60,0:19 - 2nd) ,SF 96.3%,1781,3.700000000000003
61,0:11 - 2nd) ,SF 95.7%,1789,4.299999999999997
62,15:00 - 3rd),SF 96.8%,1800,3.200000000000003
63,14:56 - 3rd),SF 97.8%,1804,2.200000000000003
64,14:13 - 3rd),SF 97.7%,1847,2.299999999999997
65,13:44 - 3rd),SF 97.9%,1876,2.0999999999999943
66,12:59 - 3rd),SF 97.9%,1921,2.0999999999999943
67,12:49 - 3rd),SF 98.2%,1931,1.7999999999999972
68,12:21 - 3rd),SF 98.4%,1959,1.5999999999999943
69,11:45 - 3rd),SF 98.6%,1995,1.4000000000000057
70,11:08 - 3rd),SF 98.8%,2032,1.2000000000000028
71,10:28 - 3rd),SF 98.8%,2072,1.2000000000000028
72,9:51 - 3rd) ,SF 99.2%,2109,0.7999999999999972
73,9:08 - 3rd) ,SF 98.8%,2152,1.2000000000000028
74,8:32 - 3rd) ,SF 99.3%,2188,0.7000000000000028
75,7:53 - 3rd) ,SF 99.2%,2227,0.7999999999999972
76,7:11 - 3rd) ,SF 99.1%,2269,0.9000000000000057
77,6:27 - 3rd) ,SF 99.1%,2313,0.9000000000000057
78,5:25 - 3rd) ,SF 93.1%,2375,6.900000000000006
79,4:42 - 3rd) ,SF 92.8%,2418,7.200000000000003
80,4:36 - 3rd) ,SF 94.2%,2424,5.799999999999997
81,4:32 - 3rd) ,SF 93.6%,2428,6.400000000000006
82,3:54 - 3rd) ,SF 93.7%,2466,6.299999999999997
83,3:11 - 3rd) ,SF 95.3%,2509,4.700000000000003
84,2:32 - 3rd) ,SF 94.8%,2548,5.200000000000003
85,1:45 - 3rd) ,SF 94.6%,2595,5.400000000000006
86,1:39 - 3rd) ,SF 93.9%,2601,6.099999999999994
87,1:23 - 3rd) ,SF 94.4%,2617,5.599999999999994
88,1:22 - 3rd) ,SF 93.3%,2618,6.700000000000003
89,0:46 - 3rd) ,SF 95.2%,2654,4.799999999999997
90,0:04 - 3rd) ,SF 95.9%,2696,4.099999999999994
91,15:00 - 4th),SF 95.2%,2700,4.799999999999997
92,14:52 - 4th),SF 94.6%,2708,5.400000000000006
93,14:08 - 4th),SF 94.4%,2752,5.599999999999994
94,14:05 - 4th),SF 96.5%,2755,3.5
95,14:00 - 4th),SF 96.2%,2760,3.799999999999997
96,13:29 - 4th),SF 95.9%,2791,4.099999999999994
97,12:46 - 4th),SF 95.0%,2834,5.0
98,12:31 - 4th),SF 94.9%,2849,5.099999999999994
99,11:57 - 4th),SF 95.3%,2883,4.700000000000003
100,11:12 - 4th),SF 94.6%,2928,5.400000000000006
101,10:41 - 4th),SF 95.6%,2959,4.400000000000006
102,10:02 - 4th),SF 95.6%,2998,4.400000000000006
103,9:58 - 4th) ,SF 97.4%,3002,2.5999999999999943
104,9:14 - 4th) ,SF 97.6%,3046,2.4000000000000057
105,9:00 - 4th) ,SF 97.9%,3060,2.0999999999999943
106,8:40 - 4th) ,SF 98.2%,3080,1.7999999999999972
107,7:53 - 4th) ,SF 97.5%,3127,2.5
108,7:07 - 4th) ,SF 98.3%,3173,1.7000000000000028
109,6:25 - 4th) ,SF 99.1%,3215,0.9000000000000057
110,5:41 - 4th) ,SF 99.5%,3259,0.5
111,4:57 - 4th) ,SF 99.6%,3303,0.4000000000000057
112,4:12 - 4th) ,SF 99.8%,3348,0.20000000000000284
113,4:04 - 4th) ,SF 99.9%,3356,0.09999999999999432
114,3:58 - 4th) ,SF 99.9%,3362,0.09999999999999432
115,3:13 - 4th) ,SF 99.9%,3407,0.09999999999999432
116,3:09 - 4th) ,SF 99.9%,3411,0.09999999999999432
117,2:30 - 4th) ,SF 99.9%,3450,0.09999999999999432
118,2:00 - 4th) ,SF 99.9%,3480,0.09999999999999432
119,1:54 - 4th) ,SF 99.9%,3486,0.09999999999999432
120,1:51 - 4th) ,SF 99.9%,3489,0.09999999999999432
121,1:28 - 4th) ,SF 99.9%,3512,0.09999999999999432
122,1:20 - 4th) ,SF 99.9%,3520,0.09999999999999432
123,0:59 - 4th) ,SF 99.9%,3541,0.09999999999999432
124,0:35 - 4th) ,SF 99.9%,3565,0.09999999999999432
125,0:31 - 4th) ,SF 99.9%,3569,0.09999999999999432
126,0:08 - 4th) ,SF 99.9%,3592,0.09999999999999432
127,0:00 - 4th) ,SF 100%,3600,0.0
