,raw_time,raw_win_pct,clean_time,BAL_win_pct
0,14:54 - 1st),TB 53.2%,126,46.8
1,14:18 - 1st),TB 54.7%,162,45.3
2,13:36 - 1st),TB 56.3%,204,43.7
3,12:52 - 1st),TB 58.5%,248,41.5
4,12:47 - 1st),BAL 55.8%,253,55.8
5,12:37 - 1st),BAL 52.4%,263,52.4
6,11:54 - 1st),BAL 51.4%,306,51.4
7,11:09 - 1st),TB 51.2%,351,48.8
8,11:03 - 1st),BAL 50.8%,357,50.8
9,10:58 - 1st),TB 52.0%,362,48.0
10,10:15 - 1st),TB 52.8%,405,47.2
11,9:42 - 1st) ,TB 51.7%,438,48.3
12,9:03 - 1st) ,TB 62.7%,477,37.3
13,8:22 - 1st) ,TB 58.5%,518,41.5
14,7:43 - 1st) ,TB 63.5%,557,36.5
15,7:36 - 1st) ,TB 58.9%,564,41.1
16,6:56 - 1st) ,TB 65.7%,604,34.3
17,6:13 - 1st) ,TB 67.0%,647,33.0
18,5:28 - 1st) ,TB 69.4%,692,30.599999999999994
19,5:18 - 1st) ,TB 69.8%,702,30.200000000000003
20,5:07 - 1st) ,TB 67.6%,713,32.400000000000006
21,4:37 - 1st) ,TB 72.8%,743,27.200000000000003
22,3:57 - 1st) ,TB 71.9%,783,28.099999999999994
23,3:19 - 1st) ,TB 74.3%,821,25.700000000000003
24,2:39 - 1st) ,TB 73.3%,861,26.700000000000003
25,1:55 - 1st) ,TB 77.8%,905,22.200000000000003
26,1:17 - 1st) ,TB 75.0%,943,25.0
27,0:40 - 1st) ,TB 73.8%,980,26.200000000000003
28,0:34 - 1st) ,TB 72.0%,986,28.0
29,0:26 - 1st) ,TB 75.6%,994,24.400000000000006
30,0:22 - 1st) ,TB 77.3%,998,22.700000000000003
31,15:00 - 2nd),TB 77.7%,1020,22.299999999999997
32,14:25 - 2nd),TB 77.5%,1055,22.5
33,14:12 - 2nd),TB 76.1%,1068,23.900000000000006
34,13:38 - 2nd),TB 75.4%,1102,24.599999999999994
