,raw_time,raw_win_pct,clean_time,GB_win_pct
0,14:21 - 1st),TB 59.3%,39,40.7
1,13:48 - 1st),TB 58.2%,72,41.8
2,13:16 - 1st),TB 55.4%,104,44.6
3,12:36 - 1st),TB 62.8%,144,37.2
4,11:57 - 1st),TB 64.8%,183,35.2
5,11:21 - 1st),TB 63.6%,219,36.4
6,10:37 - 1st),TB 62.1%,263,37.9
7,9:54 - 1st) ,TB 59.2%,306,40.8
8,9:05 - 1st) ,TB 61.9%,355,38.1
9,8:28 - 1st) ,TB 59.4%,392,40.6
10,8:01 - 1st) ,TB 59.2%,419,40.8
11,7:24 - 1st) ,TB 54.9%,456,45.1
12,6:37 - 1st) ,TB 53.2%,503,46.8
13,5:59 - 1st) ,TB 57.3%,541,42.7
14,5:17 - 1st) ,GB 50.2%,583,50.2
15,4:33 - 1st) ,TB 53.4%,627,46.6
16,3:47 - 1st) ,TB 53.9%,673,46.1
17,3:01 - 1st) ,GB 55.1%,719,55.1
18,2:56 - 1st) ,GB 56.5%,724,56.5
19,2:35 - 1st) ,GB 58.7%,745,58.7
20,2:00 - 1st) ,GB 58.8%,780,58.8
21,1:21 - 1st) ,GB 60.0%,819,60.0
22,0:41 - 1st) ,GB 59.6%,859,59.6
23,0:33 - 1st) ,GB 61.1%,867,61.1
24,15:00 - 2nd),GB 56.9%,900,56.9
25,14:12 - 2nd),GB 61.1%,948,61.1
26,13:32 - 2nd),GB 62.1%,988,62.1
27,12:50 - 2nd),GB 62.7%,1030,62.7
28,12:09 - 2nd),GB 61.9%,1071,61.9
29,12:06 - 2nd),GB 60.5%,1074,60.5
30,11:50 - 2nd),GB 64.8%,1090,64.8
31,11:48 - 2nd),GB 61.1%,1092,61.1
32,11:08 - 2nd),GB 64.3%,1132,64.3
33,10:21 - 2nd),GB 65.3%,1179,65.3
34,9:38 - 2nd) ,GB 73.1%,1222,73.1
35,8:44 - 2nd) ,GB 77.8%,1276,77.8
36,7:53 - 2nd) ,GB 77.2%,1327,77.2
37,7:16 - 2nd) ,GB 77.9%,1364,77.9
38,6:55 - 2nd) ,GB 79.9%,1385,79.9
39,6:11 - 2nd) ,GB 80.5%,1429,80.5
40,5:57 - 2nd) ,GB 85.4%,1443,85.4
41,5:08 - 2nd) ,GB 85.1%,1492,85.1
42,4:22 - 2nd) ,GB 88.0%,1538,88.0
43,3:37 - 2nd) ,GB 86.5%,1583,86.5
44,2:53 - 2nd) ,GB 86.0%,1627,86.0
45,2:09 - 2nd) ,GB 77.9%,1671,77.9
46,1:59 - 2nd) ,GB 78.2%,1681,78.2
47,1:42 - 2nd) ,GB 76.2%,1698,76.2
48,1:38 - 2nd) ,GB 74.6%,1702,74.6
49,1:17 - 2nd) ,GB 72.8%,1723,72.8
50,0:56 - 2nd) ,GB 75.6%,1744,75.6
51,0:41 - 2nd) ,GB 82.3%,1759,82.3
52,0:23 - 2nd) ,GB 81.7%,1777,81.7
53,0:19 - 2nd) ,GB 81.2%,1781,81.2
54,0:06 - 2nd) ,GB 81.5%,1794,81.5
55,15:00 - 3rd),GB 84.0%,1800,84.0
56,14:28 - 3rd),GB 80.1%,1832,80.1
57,13:45 - 3rd),GB 80.1%,1875,80.1
58,13:02 - 3rd),GB 79.0%,1918,79.0
59,12:57 - 3rd),GB 80.2%,1923,80.2
60,12:45 - 3rd),GB 80.9%,1935,80.9
61,12:20 - 3rd),GB 81.7%,1960,81.7
62,12:00 - 3rd),GB 79.2%,1980,79.2
63,11:35 - 3rd),GB 77.4%,2005,77.4
64,11:31 - 3rd),GB 79.2%,2009,79.2
65,11:23 - 3rd),GB 85.7%,2017,85.7
66,11:18 - 3rd),GB 85.9%,2022,85.9
67,10:53 - 3rd),GB 84.1%,2047,84.1
68,10:12 - 3rd),GB 82.8%,2088,82.8
69,10:00 - 3rd),GB 85.8%,2100,85.8
70,9:54 - 3rd) ,GB 87.6%,2106,87.6
71,9:50 - 3rd) ,GB 86.8%,2110,86.8
72,9:38 - 3rd) ,GB 85.7%,2122,85.7
73,9:26 - 3rd) ,GB 85.0%,2134,85.0
74,8:42 - 3rd) ,GB 83.8%,2178,83.8
75,7:57 - 3rd) ,GB 78.0%,2223,78.0
76,7:52 - 3rd) ,GB 75.2%,2228,75.2
77,7:12 - 3rd) ,GB 77.3%,2268,77.3
78,7:07 - 3rd) ,GB 78.1%,2273,78.1
79,6:32 - 3rd) ,GB 79.9%,2308,79.9
80,6:22 - 3rd) ,GB 80.3%,2318,80.3
81,5:45 - 3rd) ,GB 78.4%,2355,78.4
82,4:59 - 3rd) ,GB 78.0%,2401,78.0
83,4:17 - 3rd) ,GB 76.2%,2443,76.2
84,3:35 - 3rd) ,GB 78.2%,2485,78.2
85,3:29 - 3rd) ,GB 80.3%,2491,80.3
86,2:58 - 3rd) ,GB 76.8%,2522,76.8
87,2:33 - 3rd) ,GB 80.3%,2547,80.3
88,1:51 - 3rd) ,GB 80.2%,2589,80.2
89,1:08 - 3rd) ,GB 81.7%,2632,81.7
90,0:47 - 3rd) ,GB 83.9%,2653,83.9
91,0:45 - 3rd) ,GB 84.5%,2655,84.5
92,0:35 - 3rd) ,GB 82.8%,2665,82.8
93,15:00 - 4th),GB 82.6%,2700,82.6
94,14:12 - 4th),GB 79.7%,2748,79.7
95,13:24 - 4th),GB 81.4%,2796,81.4
96,13:17 - 4th),GB 80.5%,2803,80.5
97,12:44 - 4th),GB 84.7%,2836,84.7
98,12:06 - 4th),GB 86.5%,2874,86.5
99,11:26 - 4th),GB 85.2%,2914,85.2
100,11:18 - 4th),GB 83.9%,2922,83.9
101,10:52 - 4th),GB 83.5%,2948,83.5
102,10:31 - 4th),GB 85.9%,2969,85.9
103,10:22 - 4th),GB 85.2%,2978,85.2
104,9:36 - 4th) ,GB 81.2%,3024,81.2
105,8:54 - 4th) ,GB 84.0%,3066,84.0
106,8:40 - 4th) ,GB 79.1%,3080,79.1
107,8:01 - 4th) ,GB 84.9%,3119,84.9
108,7:25 - 4th) ,GB 86.5%,3155,86.5
109,6:50 - 4th) ,GB 90.8%,3190,90.8
110,6:04 - 4th) ,GB 90.5%,3236,90.5
111,5:57 - 4th) ,GB 89.9%,3243,89.9
112,5:50 - 4th) ,GB 87.3%,3250,87.3
113,5:04 - 4th) ,GB 93.4%,3296,93.4
114,4:20 - 4th) ,GB 92.8%,3340,92.8
115,3:35 - 4th) ,GB 97.7%,3385,97.7
116,3:29 - 4th) ,GB 96.2%,3391,96.2
117,3:18 - 4th) ,GB 93.3%,3402,93.3
118,3:11 - 4th) ,GB 95.1%,3409,95.1
119,3:04 - 4th) ,GB 95.8%,3416,95.8
120,2:39 - 4th) ,GB 91.5%,3441,91.5
121,2:19 - 4th) ,GB 93.4%,3461,93.4
122,2:02 - 4th) ,GB 90.3%,3478,90.3
123,1:54 - 4th) ,GB 88.6%,3486,88.6
124,1:34 - 4th) ,GB 91.8%,3506,91.8
125,1:31 - 4th) ,GB 87.1%,3509,87.1
126,1:26 - 4th) ,GB 89.0%,3514,89.0
127,1:01 - 4th) ,GB 82.7%,3539,82.7
128,0:33 - 4th) ,GB 78.5%,3567,78.5
129,0:26 - 4th) ,GB 78.3%,3574,78.3
130,0:21 - 4th) ,GB 79.2%,3579,79.2
131,0:13 - 4th) ,GB 99.9%,3587,99.9
132,0:00 - 4th) ,GB 100%,3600,100.0
