,raw_time,raw_win_pct,clean_time,KC_win_pct
0,14:56 - 1st),TB 54.0%,4,46.0
1,14:14 - 1st),KC 53.0%,46,53.0
2,14:08 - 1st),KC 54.6%,52,54.6
3,13:35 - 1st),TB 50.9%,85,49.1
4,12:50 - 1st),TB 52.3%,130,47.7
5,12:14 - 1st),KC 51.6%,166,51.6
6,11:42 - 1st),KC 50.2%,198,50.2
7,11:03 - 1st),KC 52.3%,237,52.3
8,10:12 - 1st),KC 50.1%,288,50.1
9,10:06 - 1st),KC 51.6%,294,51.6
10,9:30 - 1st) ,KC 53.5%,330,53.5
11,8:58 - 1st) ,KC 53.2%,362,53.2
12,8:16 - 1st) ,KC 54.2%,404,54.2
13,7:39 - 1st) ,KC 52.1%,441,52.1
14,7:28 - 1st) ,KC 56.5%,452,56.5
15,6:50 - 1st) ,KC 59.6%,490,59.6
16,6:07 - 1st) ,KC 55.2%,533,55.2
17,5:29 - 1st) ,KC 63.3%,571,63.3
18,4:44 - 1st) ,KC 61.5%,616,61.5
19,4:01 - 1st) ,KC 67.6%,659,67.6
20,3:18 - 1st) ,KC 71.4%,702,71.4
21,3:14 - 1st) ,KC 72.3%,706,72.3
22,2:27 - 1st) ,KC 71.2%,753,71.2
23,2:18 - 1st) ,KC 70.6%,762,70.6
24,2:02 - 1st) ,KC 70.4%,778,70.4
25,1:27 - 1st) ,KC 73.5%,813,73.5
26,0:46 - 1st) ,KC 74.2%,854,74.2
27,0:43 - 1st) ,KC 73.9%,857,73.9
28,15:00 - 2nd),KC 75.8%,900,75.8
29,14:24 - 2nd),KC 81.1%,936,81.1
30,13:40 - 2nd),KC 83.5%,980,83.5
31,13:00 - 2nd),KC 82.2%,1020,82.2
32,12:56 - 2nd),KC 83.7%,1024,83.7
33,12:15 - 2nd),KC 85.0%,1065,85.0
34,12:11 - 2nd),KC 81.3%,1069,81.3
35,11:26 - 2nd),KC 85.6%,1114,85.6
36,10:58 - 2nd),KC 82.5%,1142,82.5
37,10:15 - 2nd),KC 81.1%,1185,81.1
38,9:36 - 2nd) ,KC 82.5%,1224,82.5
39,9:31 - 2nd) ,KC 79.4%,1229,79.4
40,8:50 - 2nd) ,KC 75.4%,1270,75.4
41,8:44 - 2nd) ,KC 74.6%,1276,74.6
42,8:07 - 2nd) ,KC 73.9%,1313,73.9
43,8:04 - 2nd) ,KC 77.2%,1316,77.2
44,7:30 - 2nd) ,KC 79.6%,1350,79.6
45,7:15 - 2nd) ,KC 79.4%,1365,79.4
46,6:35 - 2nd) ,KC 78.8%,1405,78.8
47,5:56 - 2nd) ,KC 77.6%,1444,77.6
48,5:13 - 2nd) ,KC 72.8%,1487,72.8
49,5:09 - 2nd) ,KC 75.5%,1491,75.5
50,5:02 - 2nd) ,KC 86.1%,1498,86.1
51,4:25 - 2nd) ,KC 85.1%,1535,85.1
52,4:21 - 2nd) ,KC 86.2%,1539,86.2
53,3:45 - 2nd) ,KC 86.5%,1575,86.5
54,2:58 - 2nd) ,KC 83.9%,1622,83.9
55,2:11 - 2nd) ,KC 89.0%,1669,89.0
56,1:57 - 2nd) ,KC 89.5%,1683,89.5
57,1:39 - 2nd) ,KC 89.7%,1701,89.7
58,1:35 - 2nd) ,KC 88.6%,1705,88.6
59,1:15 - 2nd) ,KC 91.0%,1725,91.0
60,1:10 - 2nd) ,KC 88.7%,1730,88.7
61,0:52 - 2nd) ,KC 88.3%,1748,88.3
62,0:46 - 2nd) ,KC 87.5%,1754,87.5
63,0:42 - 2nd) ,KC 86.8%,1758,86.8
64,0:28 - 2nd) ,KC 86.5%,1772,86.5
65,0:18 - 2nd) ,KC 86.6%,1782,86.6
66,0:10 - 2nd) ,KC 79.3%,1790,79.3
67,15:00 - 3rd),KC 84.3%,1800,84.3
68,14:27 - 3rd),KC 80.5%,1833,80.5
69,13:51 - 3rd),KC 82.9%,1869,82.9
70,13:11 - 3rd),KC 82.5%,1909,82.5
71,13:05 - 3rd),KC 85.3%,1915,85.3
72,12:25 - 3rd),KC 84.3%,1955,84.3
73,12:20 - 3rd),KC 84.2%,1960,84.2
74,11:39 - 3rd),KC 83.4%,2001,83.4
75,11:26 - 3rd),KC 86.8%,2014,86.8
76,11:19 - 3rd),KC 84.7%,2021,84.7
77,10:51 - 3rd),KC 86.4%,2049,86.4
