,raw_time,raw_win_pct,clean_time,LV_win_pct
0,14:21 - 1st),LV 57.4%,39,57.4
1,13:33 - 1st),LV 57.4%,87,57.4
2,13:30 - 1st),LV 57.2%,90,57.2
3,12:47 - 1st),LV 55.5%,133,55.5
4,12:07 - 1st),LV 56.0%,173,56.0
5,11:28 - 1st),LV 51.8%,212,51.8
6,10:46 - 1st),LV 52.6%,254,52.6
7,10:11 - 1st),LV 54.1%,289,54.1
8,9:41 - 1st) ,TEN 52.0%,319,48.0
9,8:54 - 1st) ,LV 50.5%,366,50.5
10,8:10 - 1st) ,LV 52.2%,410,52.2
11,7:22 - 1st) ,TEN 56.9%,458,43.1
12,7:18 - 1st) ,TEN 58.9%,462,41.1
13,6:40 - 1st) ,TEN 50.4%,500,49.6
14,6:33 - 1st) ,TEN 53.1%,507,46.9
15,5:53 - 1st) ,TEN 52.3%,547,47.7
16,5:10 - 1st) ,LV 52.2%,590,52.2
17,4:24 - 1st) ,LV 54.5%,636,54.5
18,3:47 - 1st) ,LV 51.2%,673,51.2
19,3:02 - 1st) ,TEN 50.2%,718,49.8
20,2:26 - 1st) ,TEN 53.2%,754,46.8
21,2:19 - 1st) ,TEN 52.9%,761,47.1
22,1:40 - 1st) ,TEN 55.5%,800,44.5
23,0:55 - 1st) ,TEN 54.1%,845,45.9
24,0:24 - 1st) ,TEN 64.3%,876,35.7
25,15:00 - 2nd),TEN 68.5%,900,31.5
26,14:25 - 2nd),TEN 66.2%,935,33.8
27,13:45 - 2nd),TEN 66.2%,975,33.8
28,13:00 - 2nd),TEN 64.0%,1020,36.0
29,12:23 - 2nd),TEN 65.1%,1057,34.900000000000006
30,11:42 - 2nd),TEN 59.1%,1098,40.9
31,10:59 - 2nd),TEN 55.6%,1141,44.4
32,10:14 - 2nd),TEN 57.4%,1186,42.6
33,9:44 - 2nd) ,TEN 54.4%,1216,45.6
34,9:32 - 2nd) ,TEN 55.5%,1228,44.5
35,8:54 - 2nd) ,TEN 55.3%,1266,44.7
36,8:05 - 2nd) ,TEN 57.3%,1315,42.7
37,7:27 - 2nd) ,TEN 59.0%,1353,41.0
38,6:43 - 2nd) ,TEN 63.0%,1397,37.0
39,6:11 - 2nd) ,TEN 62.6%,1429,37.4
40,5:35 - 2nd) ,TEN 71.8%,1465,28.200000000000003
41,4:55 - 2nd) ,TEN 73.5%,1505,26.5
42,4:49 - 2nd) ,TEN 73.9%,1511,26.099999999999994
43,4:08 - 2nd) ,TEN 72.0%,1552,28.0
44,3:26 - 2nd) ,TEN 73.6%,1594,26.400000000000006
45,2:39 - 2nd) ,TEN 75.0%,1641,25.0
46,2:35 - 2nd) ,TEN 77.0%,1645,23.0
47,2:23 - 2nd) ,TEN 77.4%,1657,22.599999999999994
48,2:00 - 2nd) ,TEN 75.9%,1680,24.099999999999994
49,1:57 - 2nd) ,TEN 75.4%,1683,24.599999999999994
50,1:14 - 2nd) ,TEN 74.1%,1726,25.900000000000006
51,1:02 - 2nd) ,TEN 77.4%,1738,22.599999999999994
52,0:43 - 2nd) ,TEN 78.3%,1757,21.700000000000003
53,0:34 - 2nd) ,TEN 79.9%,1766,20.099999999999994
54,0:21 - 2nd) ,TEN 81.9%,1779,18.099999999999994
55,0:17 - 2nd) ,TEN 83.2%,1783,16.799999999999997
56,0:04 - 2nd) ,TEN 83.3%,1796,16.700000000000003
57,15:00 - 3rd),TEN 85.3%,1800,14.700000000000003
58,14:19 - 3rd),TEN 84.2%,1841,15.799999999999997
59,13:42 - 3rd),TEN 82.7%,1878,17.299999999999997
60,12:54 - 3rd),TEN 81.9%,1926,18.099999999999994
