real_time,NE_ESPN,MIN_ESPN,NE_ODDS,MIN_ODDS_UGLY,MIN_ODDS,game_time,clean_game_time
51:27.3,37.1,62.9,0.4566,0.374,0.626, 5:27 - 1st,573
51:28.5,37.1,62.9,0.4566,0.374,0.626, 5:27 - 1st,573
51:29.8,37.1,62.9,0.4566,0.374,0.626, 5:27 - 1st,573
51:31.0,37.1,62.9,0.4566,0.374,0.626, 5:27 - 1st,573
51:32.2,37.1,62.9,0.4566,0.374,0.626, 5:27 - 1st,573
51:33.4,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:34.7,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:35.9,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:37.2,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:38.4,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:39.6,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:40.8,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:42.1,35.6,64.4,0.4566,0.374,0.626, 5:27 - 1st,573
51:43.2,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:44.4,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:45.6,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:46.8,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:48.1,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:49.3,35.6,64.4,0.455625,0.374875,0.625125, 5:27 - 1st,573
51:50.5,35.6,64.4,0.4569,0.3781,0.6219, 5:27 - 1st,573
51:51.8,35.6,64.4,0.474,0.3952,0.6048, 5:27 - 1st,573
51:53.0,35.6,64.4,0.477,0.396,0.604, 5:27 - 1st,573
51:54.2,35.6,64.4,0.472538462,0.390615385,0.609384615, 5:27 - 1st,573
51:55.4,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
51:56.6,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
51:57.8,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
51:59.0,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
52:00.2,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
52:01.4,35.6,64.4,0.4712,0.389,0.611, 5:27 - 1st,573
52:02.6,35.6,64.4,0.4652,0.383,0.617, 5:27 - 1st,573
52:03.8,35.6,64.4,0.4652,0.383,0.617, 5:01 - 1st,599
52:05.1,35.6,64.4,0.4652,0.383,0.617, 5:01 - 1st,599
52:06.4,35.6,64.4,0.4652,0.383,0.617, 5:01 - 1st,599
52:07.6,35.6,64.4,0.4652,0.383,0.617, 5:01 - 1st,599
52:08.8,35.6,64.4,0.4652,0.383,0.617, 5:01 - 1st,599
52:10.0,37.2,62.8,0.4652,0.383,0.617, 5:01 - 1st,599
52:11.2,37.2,62.8,0.4652,0.383,0.617, 5:01 - 1st,599
52:12.4,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:13.7,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:14.9,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:16.1,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:17.3,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:18.4,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:19.6,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:20.9,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:22.1,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:23.4,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:24.6,37.2,62.8,0.4641875,0.383875,0.616125, 5:01 - 1st,599
52:25.8,37.2,62.8,0.4698125,0.3895,0.6105, 5:01 - 1st,599
52:27.2,37.2,62.8,0.4698125,0.3896875,0.6103125, 5:01 - 1st,599
52:28.3,37.2,62.8,0.4698125,0.3896875,0.6103125, 5:01 - 1st,599
52:29.6,37.2,62.8,0.4698125,0.3896875,0.6103125, 5:01 - 1st,599
52:30.8,37.2,62.8,0.4795625,0.3994375,0.6005625, 5:01 - 1st,599
52:32.0,37.2,62.8,0.4851875,0.4050625,0.5949375, 5:01 - 1st,599
52:33.2,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:34.4,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:35.5,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:36.8,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:38.0,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:39.2,37.2,62.8,0.4885,0.4045,0.5955, 5:01 - 1st,599
52:40.4,37.2,62.8,0.4876,0.4054,0.5946, 5:01 - 1st,599
52:41.6,37.2,62.8,0.4876,0.4054,0.5946, 5:01 - 1st,599
52:42.8,37.2,62.8,0.4876,0.4054,0.5946, 5:01 - 1st,599
52:44.0,39.7,60.3,0.4876,0.4054,0.5946, 4:23 - 1st,637
52:45.2,39.7,60.3,0.4868125,0.4061875,0.5938125, 4:23 - 1st,637
52:46.5,39.7,60.3,0.49525,0.414625,0.585375, 4:23 - 1st,637
