14:18 - 1st), DET 65.5%
13:48 - 1st), DET 64.3%
13:12 - 1st), DET 64.0%
12:30 - 1st), DET 61.2%
11:49 - 1st), DET 60.5%
11:17 - 1st), DET 62.0%
11:11 - 1st), DET 57.6%
10:30 - 1st), DET 59.5%
9:48 - 1st) , DET 55.6%
9:30 - 1st) , DET 52.7%
8:49 - 1st) , DET 57.0%
8:24 - 1st) , SEA 51.3%
8:16 - 1st) , SEA 52.7%
7:46 - 1st) , SEA 54.1%
7:41 - 1st) , SEA 56.2%
7:05 - 1st) , DET 54.6%
6:47 - 1st) , DET 58.3%
6:17 - 1st) , DET 54.8%
5:41 - 1st) , SEA 52.0%
5:12 - 1st) , DET 51.5%
4:35 - 1st) , SEA 55.3%
4:26 - 1st) , SEA 56.8%
3:51 - 1st) , SEA 57.2%
3:12 - 1st) , SEA 60.4%
3:07 - 1st) , SEA 60.7%
2:23 - 1st) , SEA 56.4%
1:46 - 1st) , SEA 56.7%
1:25 - 1st) , SEA 53.3%
0:49 - 1st) , SEA 56.6%
0:15 - 1st) , SEA 56.2%
15:00 - 2nd), DET 50.0%
14:23 - 2nd), SEA 53.7%
14:00 - 2nd), SEA 54.2%
13:22 - 2nd), SEA 53.7%
13:07 - 2nd), SEA 50.8%
12:32 - 2nd), SEA 52.7%
12:07 - 2nd), SEA 57.2%
11:27 - 2nd), SEA 59.8%
10:48 - 2nd), SEA 58.4%
10:42 - 2nd), SEA 55.1%
10:06 - 2nd), SEA 52.6%
9:17 - 2nd) , SEA 52.6%
9:08 - 2nd) , SEA 61.4%
9:02 - 2nd) , SEA 62.5%
8:32 - 2nd) , SEA 63.8%
7:58 - 2nd) , SEA 59.7%
7:26 - 2nd) , SEA 61.5%
6:52 - 2nd) , SEA 67.8%
6:42 - 2nd) , SEA 66.4%
6:22 - 2nd) , SEA 65.3%
5:43 - 2nd) , SEA 78.5%
5:04 - 2nd) , SEA 82.2%
4:36 - 2nd) , SEA 82.8%
4:03 - 2nd) , SEA 84.2%
3:41 - 2nd) , SEA 79.9%
3:03 - 2nd) , SEA 79.5%
2:56 - 2nd) , SEA 78.4%
2:29 - 2nd) , SEA 77.3%
2:00 - 2nd) , SEA 76.6%
1:30 - 2nd) , SEA 75.7%
1:05 - 2nd) , SEA 77.7%
1:00 - 2nd) , SEA 69.6%
0:34 - 2nd) , SEA 73.8%
0:25 - 2nd) , SEA 75.5%
0:20 - 2nd) , SEA 78.8%
15:00 - 3rd), SEA 66.7%
14:49 - 3rd), SEA 88.2%
14:48 - 3rd), SEA 89.0%
14:15 - 3rd), SEA 89.4%
13:42 - 3rd), SEA 87.6%
13:11 - 3rd), SEA 88.6%
12:34 - 3rd), SEA 89.0%
11:54 - 3rd), SEA 91.4%
11:16 - 3rd), SEA 90.8%
11:04 - 3rd), SEA 93.1%
10:34 - 3rd), SEA 94.4%
10:05 - 3rd), SEA 94.3%
9:46 - 3rd) , SEA 94.1%
9:06 - 3rd) , SEA 94.1%
8:20 - 3rd) , SEA 94.3%
7:33 - 3rd) , SEA 91.2%
7:29 - 3rd) , SEA 89.9%
7:11 - 3rd) , SEA 90.9%
6:30 - 3rd) , SEA 72.5%
6:01 - 3rd) , SEA 73.7%
5:23 - 3rd) , SEA 79.0%
4:51 - 3rd) , SEA 79.6%
4:15 - 3rd) , SEA 82.3%
3:35 - 3rd) , SEA 78.7%
3:26 - 3rd) , SEA 80.6%
2:59 - 3rd) , SEA 78.4%
2:29 - 3rd) , SEA 85.8%
1:45 - 3rd) , SEA 87.2%
1:29 - 3rd) , SEA 85.5%
0:46 - 3rd) , SEA 80.3%
0:34 - 3rd) , SEA 79.1%
0:33 - 3rd) , SEA 94.8%
0:11 - 3rd) , SEA 84.2%
15:00 - 4th), SEA 87.5%
14:23 - 4th), SEA 77.5%
14:05 - 4th), SEA 77.3%
13:38 - 4th), SEA 82.3%
12:58 - 4th), SEA 82.5%
12:24 - 4th), SEA 85.4%
11:40 - 4th), SEA 86.0%
11:34 - 4th), SEA 91.4%
11:05 - 4th), SEA 91.4%
10:26 - 4th), SEA 90.5%
9:42 - 4th) , SEA 90.2%
9:32 - 4th) , SEA 91.9%
9:28 - 4th) , SEA 88.4%
8:59 - 4th) , SEA 90.4%
8:27 - 4th) , SEA 87.6%
7:50 - 4th) , SEA 90.5%
7:45 - 4th) , SEA 91.9%
7:16 - 4th) , SEA 94.9%
7:07 - 4th) , SEA 85.5%
6:33 - 4th) , SEA 82.2%
6:07 - 4th) , SEA 80.5%
5:59 - 4th) , SEA 85.5%
5:26 - 4th) , SEA 75.8%
4:52 - 4th) , SEA 72.7%
4:10 - 4th) , SEA 73.6%
3:44 - 4th) , SEA 82.7%
3:02 - 4th) , SEA 80.3%
2:28 - 4th) , SEA 80.0%
2:14 - 4th) , SEA 99.5%
2:08 - 4th) , SEA 99.1%
1:54 - 4th) , SEA 98.2%
1:48 - 4th) , SEA 98.6%
1:38 - 4th) , SEA 92.5%
1:14 - 4th) , SEA 96.4%
1:04 - 4th) , SEA 95.1%
0:54 - 4th) , SEA 99.9%
0:30 - 4th) , SEA 99.9%
0:00 - 4th) , SEA 100%
